Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,PPTINC , ,,SPILL , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,INCHES, ,CFS, ,
09/29/2007,729.14,,132534,,--,,77,,1,,0.00,,0,,
09/30/2007,729.08,,132392,,--,,78,,5,,0.00,,0,,
10/01/2007,729.00,,132204,,--,,75,,-17,,0.00,,0,,
10/02/2007,728.95,,132088,,--,,79,,20,,0.00,,0,,
10/03/2007,728.87,,131901,,--,,99,,8,,0.00,,0,,
10/04/2007,728.78,,131692,,--,,106,,2,,0.00,,0,,
10/05/2007,728.67,,131436,,--,,108,,-21,,0.00,,0,,
10/06/2007,728.58,,131226,,--,,106,,0,,0.00,,0,,
10/07/2007,728.49,,131017,,--,,107,,2,,0.00,,0,,
10/08/2007,728.41,,130830,,--,,96,,3,,0.00,,0,,
10/09/2007,728.35,,130691,,--,,64,,-4,,0.00,,0,,
10/10/2007,728.30,,130574,,--,,65,,7,,0.00,,0,,
10/11/2007,--,,--,,--,,--,,--,,--,,--,,
10/12/2007,728.18,,130295,,--,,66,,9,,0.00,,0,,
10/13/2007,728.11,,130132,,--,,97,,-131,,1.43,,0,,
10/14/2007,728.03,,129946,,--,,100,,6,,0.01,,0,,
10/15/2007,727.93,,129715,,--,,102,,-12,,0.00,,0,,
10/16/2007,727.84,,129508,,--,,106,,2,,0.00,,0,,
10/17/2007,727.76,,129324,,--,,94,,-2,,0.09,,0,,
10/18/2007,727.69,,129162,,--,,88,,11,,0.00,,0,,
10/19/2007,727.61,,128978,,--,,89,,2,,0.00,,0,,
10/20/2007,727.53,,128794,,--,,89,,2,,0.00,,0,,
10/21/2007,727.44,,128587,,--,,89,,-5,,0.00,,0,,
10/22/2007,727.37,,128426,,--,,89,,14,,0.00,,0,,
10/23/2007,727.29,,128242,,--,,88,,0,,0.00,,0,,
10/24/2007,727.22,,128080,,--,,91,,17,,0.00,,0,,
10/25/2007,727.14,,127896,,--,,90,,4,,0.00,,0,,
10/26/2007,727.04,,127666,,--,,91,,-22,,0.00,,0,,
10/27/2007,726.96,,127483,,--,,99,,10,,0.00,,0,,
10/28/2007,726.88,,127301,,--,,101,,4,,0.00,,0,,
10/29/2007,726.80,,127120,,--,,99,,10,,0.00,,0,,
10/30/2007,726.72,,126938,,--,,97,,9,,0.00,,0,,
10/31/2007,726.64,,126756,,--,,94,,4,,0.00,,0,,
11/01/2007,726.56,,126574,,--,,89,,-4,,0.00,,0,,
11/02/2007,726.49,,126415,,--,,89,,9,,0.00,,0,,
11/03/2007,726.41,,126234,,--,,91,,3,,0.00,,0,,
11/04/2007,726.34,,126074,,--,,83,,13,,0.00,,0,,
11/05/2007,726.30,,125984,,--,,31,,-5,,0.00,,0,,
11/06/2007,726.27,,125915,,--,,25,,-3,,0.00,,0,,
11/07/2007,726.24,,125847,,--,,28,,-2,,0.00,,0,,
11/08/2007,726.21,,125779,,--,,27,,-1,,0.00,,0,,
11/09/2007,726.19,,125734,,--,,26,,6,,0.00,,0,,
11/10/2007,726.15,,125643,,--,,34,,-7,,0.00,,0,,
11/11/2007,726.09,,125506,,--,,71,,10,,0.00,,0,,
11/12/2007,--,,--,,--,,--,,--,,--,,--,,
11/13/2007,725.95,,125190,,--,,68,,-17,,0.00,,0,,
11/14/2007,725.90,,125078,,--,,71,,24,,0.00,,0,,
11/15/2007,725.83,,124921,,--,,69,,-0,,0.00,,0,,
11/16/2007,725.76,,124763,,--,,68,,-2,,0.00,,0,,
11/17/2007,725.69,,124606,,--,,68,,-5,,0.00,,0,,
11/18/2007,725.64,,124494,,--,,64,,6,,0.01,,0,,
11/19/2007,725.60,,124404,,--,,64,,10,,0.00,,0,,
11/20/2007,725.54,,124270,,--,,70,,-0,,0.00,,0,,
11/21/2007,725.47,,124113,,--,,70,,-11,,0.00,,0,,
11/22/2007,725.42,,124000,,--,,70,,11,,0.00,,0,,
11/23/2007,725.35,,123843,,--,,49,,-31,,0.00,,0,,
11/24/2007,725.32,,123776,,--,,47,,10,,0.00,,0,,
11/25/2007,725.26,,123641,,--,,58,,-10,,0.00,,0,,
11/26/2007,725.25,,123619,,--,,25,,11,,0.00,,0,,
11/27/2007,725.22,,123552,,--,,24,,-10,,0.00,,0,,
11/28/2007,725.20,,123507,,--,,30,,5,,0.00,,0,,
11/29/2007,725.17,,123439,,--,,27,,-8,,0.00,,0,,
11/30/2007,725.12,,123327,,--,,48,,-11,,0.03,,0,,
12/01/2007,725.06,,123193,,--,,71,,1,,0.00,,0,,
12/02/2007,725.00,,123058,,--,,70,,-2,,0.00,,0,,
12/03/2007,724.74,,122481,,--,,70,,-226,,0.00,,0,,
12/04/2007,724.87,,122770,,--,,70,,212,,0.00,,0,,
12/05/2007,724.82,,122659,,--,,68,,12,,0.00,,0,,
12/06/2007,724.76,,122526,,--,,70,,1,,0.00,,0,,
12/07/2007,724.71,,122415,,--,,67,,-8,,0.16,,0,,
12/08/2007,724.65,,122282,,--,,63,,-11,,0.03,,0,,
12/09/2007,724.63,,122237,,--,,30,,2,,0.00,,0,,
12/10/2007,724.62,,122215,,--,,23,,8,,0.00,,0,,
12/11/2007,724.59,,122149,,--,,23,,-14,,0.00,,0,,
12/12/2007,724.58,,122126,,--,,22,,7,,0.00,,0,,
12/13/2007,724.54,,122038,,--,,24,,-22,,0.00,,0,,
12/14/2007,724.52,,121993,,--,,29,,2,,0.00,,0,,
12/15/2007,724.49,,121927,,--,,34,,-3,,0.00,,0,,
12/16/2007,724.45,,121838,,--,,49,,1,,0.00,,0,,
12/17/2007,724.40,,121727,,--,,56,,-5,,0.00,,0,,
12/18/2007,724.38,,121683,,--,,57,,8,,0.22,,0,,
12/19/2007,724.60,,122171,,--,,53,,120,,1.94,,0,,
12/20/2007,724.60,,122171,,--,,53,,47,,0.00,,0,,
12/21/2007,724.58,,122126,,--,,46,,15,,0.04,,0,,
12/22/2007,724.55,,122060,,--,,40,,3,,0.00,,0,,
12/23/2007,724.52,,121993,,--,,40,,3,,0.00,,0,,
12/24/2007,724.50,,121949,,--,,40,,13,,0.00,,0,,
12/25/2007,724.45,,121838,,--,,40,,-15,,0.00,,0,,
12/26/2007,724.45,,121838,,--,,29,,24,,0.00,,0,,
12/27/2007,724.40,,121727,,--,,36,,-20,,0.00,,0,,
12/28/2007,724.37,,121661,,--,,33,,-3,,0.00,,0,,
12/29/2007,724.35,,121616,,--,,34,,5,,0.00,,0,,
12/30/2007,724.32,,121550,,--,,35,,-2,,0.00,,0,,
12/31/2007,724.30,,121505,,--,,34,,7,,0.00,,0,,
01/01/2008,724.28,,121461,,--,,39,,13,,0.00,,0,,
01/02/2008,724.25,,121395,,--,,40,,4,,0.00,,0,,
01/03/2008,724.23,,121350,,--,,34,,25,,0.00,,0,,
01/04/2008,724.20,,121284,,--,,34,,17,,0.03,,0,,
01/05/2008,725.73,,124696,,--,,30,,1378,,4.05,,0,,
01/06/2008,726.53,,126506,,--,,25,,838,,1.10,,0,,
01/07/2008,727.13,,127873,,--,,26,,657,,0.62,,0,,
01/08/2008,727.37,,128426,,--,,25,,307,,0.01,,0,,
01/09/2008,727.46,,128633,,--,,37,,141,,0.02,,0,,
01/10/2008,727.48,,128679,,46,,39,,65,,0.00,,0,,
01/11/2008,727.51,,128748,,69,,39,,78,,0.00,,0,,
01/12/2008,727.53,,128794,,46,,35,,63,,0.00,,0,,
01/13/2008,727.54,,128817,,23,,33,,48,,0.00,,0,,
01/14/2008,727.55,,128840,,23,,32,,48,,0.00,,0,,
01/15/2008,727.54,,128817,,-23,,32,,27,,0.00,,0,,
01/16/2008,727.55,,128840,,23,,32,,49,,0.00,,0,,
01/17/2008,727.55,,128840,,0,,33,,38,,0.00,,0,,
01/18/2008,727.53,,128794,,-46,,32,,14,,0.00,,0,,
01/19/2008,727.53,,128794,,0,,32,,37,,0.00,,0,,
01/20/2008,727.51,,128748,,-46,,32,,14,,0.00,,0,,
01/21/2008,727.51,,128748,,0,,32,,37,,0.00,,0,,
01/22/2008,727.52,,128771,,23,,39,,36,,0.15,,0,,
01/23/2008,727.81,,129439,,668,,39,,123,,2.66,,0,,
01/24/2008,730.50,,135749,,6310,,27,,2972,,2.37,,0,,
01/25/2008,732.08,,139538,,3789,,22,,1863,,0.81,,0,,
01/26/2008,735.06,,146866,,7328,,21,,3666,,0.51,,0,,
01/27/2008,739.33,,157862,,10996,,20,,5296,,2.47,,0,,
01/28/2008,747.00,,179086,,21224,,19,,10517,,1.67,,0,,
01/29/2008,749.48,,186458,,7372,,26,,3732,,0.10,,0,,
01/30/2008,750.20,,188642,,2184,,391,,1497,,0.00,,327,,
01/31/2008,750.45,,189407,,765,,613,,1008,,0.00,,514,,
02/01/2008,750.56,,189743,,336,,615,,791,,0.00,,501,,
02/02/2008,750.52,,189621,,-122,,635,,583,,0.00,,515,,
02/03/2008,750.49,,189529,,-92,,551,,405,,0.86,,515,,
02/04/2008,750.62,,189927,,398,,685,,870,,0.15,,517,,
02/05/2008,750.69,,190141,,214,,483,,592,,0.01,,244,,
02/06/2008,750.85,,190630,,489,,265,,527,,0.00,,0,,
02/07/2008,750.96,,190967,,337,,220,,396,,0.00,,0,,
02/08/2008,751.11,,191429,,462,,142,,388,,0.00,,0,,
02/09/2008,751.29,,191985,,556,,116,,405,,0.00,,0,,
02/10/2008,751.44,,192449,,464,,108,,352,,0.00,,0,,
02/11/2008,751.59,,192913,,464,,112,,356,,0.00,,0,,
02/12/2008,751.68,,193191,,278,,170,,325,,0.00,,0,,
02/13/2008,751.73,,193345,,154,,192,,288,,0.00,,0,,
02/14/2008,751.78,,193500,,155,,193,,277,,0.00,,0,,
02/15/2008,751.86,,193747,,247,,193,,330,,0.00,,0,,
02/16/2008,751.87,,193778,,31,,196,,228,,0.00,,0,,
02/17/2008,751.88,,193809,,31,,194,,219,,0.00,,0,,
02/18/2008,751.90,,193871,,62,,194,,234,,0.00,,0,,
02/19/2008,751.90,,193871,,0,,194,,201,,0.00,,0,,
02/20/2008,751.91,,193902,,31,,202,,198,,0.18,,0,,
02/21/2008,751.91,,193902,,0,,189,,196,,0.00,,0,,
02/22/2008,751.93,,193964,,62,,189,,208,,0.10,,0,,
02/23/2008,751.99,,194149,,185,,184,,276,,0.06,,0,,
02/24/2008,752.09,,194461,,312,,214,,263,,0.87,,0,,
02/25/2008,752.42,,195491,,1030,,456,,967,,0.10,,341,,
02/26/2008,752.30,,195117,,-374,,796,,618,,0.00,,531,,
02/27/2008,752.18,,194742,,-375,,648,,475,,0.00,,530,,
02/28/2008,752.14,,194617,,-125,,483,,432,,0.00,,446,,
02/29/2008,752.09,,194461,,--,,449,,380,,0.00,,415,,
03/01/2008,752.04,,194305,,-156,,377,,308,,0.00,,343,,
03/02/2008,751.98,,194118,,-187,,375,,292,,0.00,,341,,
03/03/2008,751.92,,193933,,-185,,374,,292,,0.00,,340,,
03/04/2008,751.88,,193809,,-124,,293,,249,,0.00,,88,,
03/05/2008,751.84,,193685,,-124,,278,,226,,0.00,,0,,
03/06/2008,751.86,,193747,,62,,177,,221,,0.00,,0,,
03/07/2008,751.88,,193809,,62,,126,,170,,0.00,,0,,
03/08/2008,751.92,,193933,,124,,104,,183,,0.00,,0,,
03/09/2008,751.97,,194087,,154,,85,,181,,0.00,,0,,
03/10/2008,752.03,,194274,,187,,84,,191,,0.00,,0,,
03/11/2008,752.07,,194399,,125,,82,,163,,0.00,,0,,
03/12/2008,752.12,,194555,,156,,84,,178,,0.00,,0,,
03/13/2008,752.16,,194680,,125,,80,,162,,0.00,,0,,
03/14/2008,752.20,,194804,,124,,83,,165,,0.00,,0,,
03/15/2008,752.23,,194898,,94,,83,,151,,0.00,,0,,
03/16/2008,752.27,,195023,,125,,64,,79,,0.45,,0,,
03/17/2008,752.31,,195148,,125,,63,,139,,0.01,,0,,
03/18/2008,752.34,,195241,,93,,64,,128,,0.00,,0,,
03/19/2008,752.37,,195335,,94,,72,,132,,0.00,,0,,
03/20/2008,752.39,,195398,,63,,70,,115,,0.00,,0,,
03/21/2008,752.42,,195491,,93,,74,,140,,0.00,,0,,
03/22/2008,752.44,,195554,,63,,61,,113,,0.00,,0,,
03/23/2008,752.47,,195647,,93,,59,,124,,0.00,,0,,
03/24/2008,752.48,,195679,,32,,60,,96,,0.00,,0,,
03/25/2008,752.52,,195803,,124,,57,,139,,0.00,,0,,
03/26/2008,752.52,,195803,,0,,47,,66,,0.00,,0,,
03/27/2008,752.54,,195866,,63,,46,,102,,0.00,,0,,
03/28/2008,752.56,,195928,,62,,46,,101,,0.00,,0,,
03/29/2008,752.56,,195928,,0,,51,,72,,0.00,,0,,
03/30/2008,752.57,,195960,,32,,51,,85,,0.00,,0,,
03/31/2008,752.58,,195991,,31,,51,,84,,0.00,,0,,
04/01/2008,752.60,,196053,,62,,51,,101,,0.00,,0,,
04/02/2008,752.60,,196053,,0,,46,,63,,0.00,,0,,
04/03/2008,752.62,,196116,,63,,37,,66,,0.06,,0,,
04/04/2008,752.64,,196178,,62,,35,,82,,0.00,,0,,
04/05/2008,752.65,,196209,,31,,29,,64,,0.00,,0,,
04/06/2008,752.67,,196272,,63,,22,,72,,0.00,,0,,
04/07/2008,752.69,,196334,,62,,25,,79,,0.00,,0,,
04/08/2008,752.69,,196334,,0,,35,,58,,0.00,,0,,
04/09/2008,752.68,,196303,,-31,,35,,39,,0.00,,0,,
04/10/2008,752.70,,196365,,62,,42,,95,,0.00,,0,,
04/11/2008,752.69,,196334,,-31,,63,,70,,0.00,,0,,
04/12/2008,752.69,,196334,,0,,69,,96,,0.00,,0,,
04/13/2008,752.68,,196303,,-31,,66,,82,,0.00,,0,,
04/14/2008,752.66,,196241,,-62,,63,,64,,0.00,,0,,
04/15/2008,752.64,,196178,,-63,,63,,57,,0.00,,0,,
04/16/2008,752.63,,196147,,-31,,51,,63,,0.00,,0,,
04/17/2008,752.61,,196084,,-63,,52,,45,,0.00,,0,,
04/18/2008,752.60,,196053,,-31,,52,,65,,0.00,,0,,
04/19/2008,752.57,,195960,,-93,,53,,30,,0.00,,0,,
04/20/2008,752.55,,195897,,-63,,54,,43,,0.00,,0,,
04/21/2008,752.54,,195866,,-31,,55,,61,,0.00,,0,,
04/22/2008,752.52,,195803,,-63,,52,,42,,0.00,,0,,
04/23/2008,752.51,,195772,,-31,,53,,61,,0.00,,0,,
04/24/2008,752.48,,195679,,-93,,55,,35,,0.00,,0,,
04/25/2008,752.45,,195585,,-94,,67,,45,,0.00,,0,,
04/26/2008,752.43,,195522,,-63,,67,,68,,0.00,,0,,
04/27/2008,752.40,,195429,,-93,,67,,54,,0.00,,0,,
04/28/2008,752.38,,195366,,-63,,65,,71,,0.00,,0,,
04/29/2008,752.35,,195273,,-93,,63,,45,,0.00,,0,,
04/30/2008,752.30,,195117,,-156,,67,,19,,0.00,,0,,
05/01/2008,--,,--,,--,,--,,--,,--,,--,,
05/02/2008,752.23,,194898,,--,,65,,42,,0.00,,0,,
05/03/2008,752.19,,194773,,-125,,65,,34,,0.00,,0,,
05/04/2008,752.16,,194680,,-93,,65,,40,,0.00,,0,,
05/05/2008,752.14,,194617,,-63,,47,,37,,0.00,,0,,
05/06/2008,752.12,,194555,,-62,,46,,33,,0.00,,0,,
05/07/2008,752.09,,194461,,-94,,66,,42,,0.00,,0,,
05/08/2008,752.06,,194367,,-94,,57,,33,,0.00,,0,,
05/09/2008,752.03,,194274,,-93,,55,,28,,0.00,,0,,
05/10/2008,752.01,,194211,,-63,,50,,43,,0.00,,0,,
05/11/2008,751.98,,194118,,-93,,48,,25,,0.00,,0,,
05/12/2008,751.96,,194056,,-62,,49,,44,,0.00,,0,,
05/13/2008,751.94,,193995,,-61,,48,,40,,0.00,,0,,
05/14/2008,751.90,,193871,,-124,,57,,26,,0.00,,0,,
05/15/2008,751.85,,193716,,-155,,71,,25,,0.00,,0,,
05/16/2008,751.82,,193624,,-92,,68,,60,,0.00,,0,,
05/17/2008,751.77,,193469,,-155,,75,,43,,0.00,,0,,
05/18/2008,751.73,,193345,,-124,,75,,55,,0.00,,0,,
05/19/2008,751.68,,193191,,-154,,59,,27,,0.00,,0,,
05/20/2008,751.63,,193036,,-155,,59,,13,,0.00,,0,,
05/21/2008,751.57,,192851,,-185,,50,,-10,,0.00,,0,,
05/22/2008,751.53,,192727,,-124,,43,,16,,0.00,,0,,
05/23/2008,751.50,,192635,,-92,,44,,25,,0.00,,0,,
05/24/2008,751.50,,192635,,0,,57,,10,,0.38,,0,,
05/25/2008,751.45,,192480,,-155,,61,,-2,,0.00,,0,,
05/26/2008,751.42,,192387,,-93,,50,,12,,0.00,,0,,
05/27/2008,751.38,,192264,,-123,,49,,9,,0.00,,0,,
05/28/2008,751.35,,192171,,-93,,53,,32,,0.00,,0,,
05/29/2008,751.30,,192016,,-155,,60,,8,,0.00,,0,,
05/30/2008,751.25,,191862,,-154,,61,,15,,0.00,,0,,
05/31/2008,751.21,,191738,,-124,,61,,23,,0.00,,0,,
06/01/2008,751.17,,191614,,-124,,61,,26,,0.00,,0,,
06/02/2008,751.12,,191460,,-154,,61,,9,,0.00,,0,,
06/03/2008,751.09,,191367,,-93,,62,,37,,0.00,,0,,
06/04/2008,751.04,,191213,,-154,,63,,4,,0.00,,0,,
06/05/2008,751.01,,191120,,-93,,54,,23,,0.00,,0,,
06/06/2008,750.98,,191028,,-92,,56,,26,,0.00,,0,,
06/07/2008,750.93,,190875,,-153,,62,,3,,0.00,,0,,
06/08/2008,750.90,,190783,,-92,,63,,42,,0.00,,0,,
06/09/2008,750.85,,190630,,-153,,69,,10,,0.00,,0,,
06/10/2008,750.81,,190508,,-122,,67,,32,,0.00,,0,,
06/11/2008,750.78,,190416,,-92,,54,,29,,0.00,,0,,
06/12/2008,750.74,,190294,,-122,,56,,20,,0.00,,0,,
06/13/2008,750.70,,190171,,-123,,56,,11,,0.00,,0,,
06/14/2008,750.67,,190080,,-91,,61,,32,,0.00,,0,,
06/15/2008,750.63,,189957,,-123,,61,,18,,0.00,,0,,
06/16/2008,750.60,,189865,,-92,,49,,20,,0.00,,0,,
06/17/2008,750.57,,189774,,-91,,56,,29,,0.00,,0,,
06/18/2008,750.54,,189682,,-92,,55,,30,,0.00,,0,,
06/19/2008,750.50,,189560,,-122,,58,,33,,0.00,,0,,
06/20/2008,750.46,,189437,,-123,,68,,40,,0.00,,0,,
06/21/2008,750.41,,189284,,-153,,71,,34,,0.00,,0,,
06/22/2008,750.36,,189131,,-153,,83,,46,,0.00,,0,,
06/23/2008,750.30,,188948,,-183,,78,,18,,0.00,,0,,
06/24/2008,750.24,,188764,,-184,,78,,4,,0.00,,0,,
06/25/2008,750.19,,188611,,-153,,74,,12,,0.00,,0,,
06/26/2008,750.14,,188458,,-153,,78,,10,,0.00,,0,,
06/27/2008,750.06,,188214,,-244,,119,,12,,0.00,,0,,
06/28/2008,749.99,,188000,,-214,,108,,19,,0.00,,0,,
06/29/2008,749.94,,187849,,-151,,78,,20,,0.00,,0,,
06/30/2008,749.89,,187697,,-152,,72,,16,,0.00,,0,,
07/01/2008,749.84,,187546,,-151,,77,,18,,0.00,,0,,
07/02/2008,749.79,,187395,,-151,,81,,23,,0.00,,0,,
07/03/2008,749.74,,187244,,-151,,83,,23,,0.00,,0,,
07/04/2008,749.68,,187063,,-181,,89,,19,,0.00,,0,,
07/05/2008,749.61,,186851,,-212,,89,,2,,0.00,,0,,
07/06/2008,749.54,,186639,,-212,,90,,1,,0.00,,0,,
07/07/2008,749.48,,186458,,-181,,89,,17,,0.00,,0,,
07/08/2008,749.42,,186277,,-181,,87,,13,,0.00,,0,,
07/09/2008,749.37,,186126,,-151,,87,,34,,0.00,,0,,
07/10/2008,749.30,,185914,,-212,,83,,-5,,0.00,,0,,
07/11/2008,749.26,,185793,,-121,,74,,30,,0.00,,0,,
07/12/2008,749.20,,185612,,-181,,78,,2,,0.00,,0,,
07/13/2008,749.15,,185460,,-152,,78,,19,,0.00,,0,,
07/14/2008,749.09,,185279,,-181,,76,,-0,,0.00,,0,,
07/15/2008,749.02,,185067,,-212,,84,,-6,,0.00,,0,,
07/16/2008,748.95,,184858,,-209,,82,,6,,0.00,,0,,
07/17/2008,748.88,,184649,,-209,,83,,8,,0.00,,0,,
07/18/2008,748.81,,184440,,-209,,82,,8,,0.00,,0,,
07/19/2008,748.74,,184232,,-208,,79,,2,,0.00,,0,,
07/20/2008,748.67,,184023,,-209,,74,,-1,,0.00,,0,,
07/21/2008,748.61,,183844,,-179,,60,,-5,,0.00,,0,,
07/22/2008,748.55,,183665,,-179,,70,,5,,0.00,,0,,
07/23/2008,748.49,,183486,,-179,,75,,3,,0.00,,0,,
07/24/2008,748.43,,183307,,-179,,77,,9,,0.00,,0,,
07/25/2008,748.37,,183128,,-179,,86,,12,,0.00,,0,,
07/26/2008,748.30,,182920,,-208,,85,,0,,0.00,,0,,
07/27/2008,748.25,,182771,,-149,,77,,22,,0.00,,0,,
07/28/2008,748.19,,182592,,-179,,77,,4,,0.00,,0,,
07/29/2008,748.13,,182413,,-179,,76,,-1,,0.00,,0,,
07/30/2008,748.07,,182234,,-179,,75,,1,,0.00,,0,,
07/31/2008,748.02,,182085,,-149,,60,,2,,0.00,,0,,
08/01/2008,747.97,,181937,,-148,,67,,8,,0.00,,0,,
08/02/2008,747.91,,181760,,-177,,74,,2,,0.00,,0,,
08/03/2008,747.86,,181614,,-146,,71,,18,,0.00,,0,,
08/04/2008,747.80,,181437,,-177,,67,,-5,,0.00,,0,,
08/05/2008,747.75,,181290,,-147,,74,,16,,0.00,,0,,
08/06/2008,747.69,,181114,,-176,,73,,-3,,0.00,,0,,
08/07/2008,747.64,,180967,,-147,,72,,14,,0.00,,0,,
08/08/2008,747.58,,180791,,-176,,72,,-4,,0.00,,0,,
08/09/2008,747.52,,180614,,-177,,72,,-5,,0.00,,0,,
08/10/2008,747.48,,180497,,-117,,72,,26,,0.00,,0,,
08/11/2008,747.41,,180291,,-206,,72,,-19,,0.00,,0,,
08/12/2008,747.35,,180115,,-176,,71,,-4,,0.00,,0,,
08/13/2008,747.30,,179968,,-147,,58,,-4,,0.00,,0,,
08/14/2008,747.24,,179791,,-177,,74,,-3,,0.00,,0,,
08/15/2008,747.20,,179674,,-117,,70,,25,,0.00,,0,,
08/16/2008,747.15,,179527,,-147,,68,,9,,0.00,,0,,
08/17/2008,747.10,,179380,,-147,,68,,7,,0.00,,0,,
08/18/2008,747.04,,179204,,-176,,65,,-13,,0.00,,0,,
08/19/2008,746.99,,179057,,-147,,75,,9,,0.00,,0,,
08/20/2008,746.93,,178883,,-174,,75,,-2,,0.00,,0,,
08/21/2008,746.88,,178738,,-145,,74,,12,,0.00,,0,,
08/22/2008,746.82,,178565,,-173,,74,,-2,,0.00,,0,,
08/23/2008,746.76,,178391,,-174,,74,,-2,,0.00,,0,,
08/24/2008,746.72,,178275,,-116,,64,,15,,0.00,,0,,
08/25/2008,746.66,,178101,,-174,,59,,-15,,0.00,,0,,
08/26/2008,746.62,,177986,,-115,,69,,24,,0.00,,0,,
08/27/2008,746.55,,177783,,-203,,78,,-14,,0.00,,0,,
08/28/2008,746.50,,177638,,-145,,81,,17,,0.00,,0,,
08/29/2008,746.45,,177493,,-203,,72,,13,,0.00,,0,,
08/30/2008,746.41,,177377,,-58,,58,,15,,0.00,,0,,
08/31/2008,746.36,,177233,,-144,,57,,-4,,0.00,,0,,
09/01/2008,746.31,,177088,,-145,,49,,-18,,0.00,,0,,
09/02/2008,746.29,,177030,,-58,,50,,27,,0.00,,0,,
09/03/2008,746.23,,176856,,-174,,70,,-5,,0.00,,0,,
09/04/2008,746.18,,176711,,-145,,73,,13,,0.00,,0,,
09/05/2008,746.12,,176538,,-173,,71,,-2,,0.00,,0,,
09/06/2008,746.07,,176393,,-145,,66,,6,,0.00,,0,,
09/07/2008,746.02,,176248,,-145,,65,,1,,0.00,,0,,
09/08/2008,745.97,,176104,,-144,,62,,-5,,0.00,,0,,
09/09/2008,745.93,,175990,,-114,,54,,3,,0.00,,0,,
09/10/2008,745.89,,175876,,-114,,57,,-2,,0.00,,0,,
09/11/2008,745.84,,175733,,-143,,54,,-15,,0.00,,0,,
09/12/2008,745.80,,175619,,-114,,53,,-1,,0.00,,0,,
09/13/2008,745.76,,175505,,-114,,58,,1,,0.00,,0,,
09/14/2008,745.70,,175334,,-171,,73,,-13,,0.00,,0,,
09/15/2008,745.65,,175191,,-143,,73,,3,,0.00,,0,,
09/16/2008,745.60,,175048,,-143,,73,,5,,0.00,,0,,
09/17/2008,745.54,,174877,,-171,,65,,-17,,0.00,,0,,
09/18/2008,745.50,,174763,,-114,,57,,1,,0.00,,0,,
09/19/2008,745.46,,174649,,-114,,57,,1,,0.00,,0,,
09/20/2008,745.41,,174506,,-143,,58,,-10,,0.00,,0,,
09/21/2008,745.37,,174392,,-114,,59,,3,,0.00,,0,,
09/22/2008,745.32,,174249,,-143,,53,,-18,,0.00,,0,,
09/23/2008,745.28,,174135,,-114,,53,,1,,0.00,,0,,
09/24/2008,745.24,,174021,,-114,,65,,11,,0.00,,0,,
09/25/2008,745.19,,173878,,-143,,70,,6,,0.00,,0,,
09/26/2008,745.14,,173736,,-142,,66,,2,,0.00,,0,,
09/27/2008,745.09,,173593,,-143,,62,,-3,,0.00,,0,,
09/28/2008,745.06,,173507,,-86,,60,,23,,0.00,,0,,
09/29/2008,--,,--,,--,,--,,--,,--,,--,,
09/30/2008,744.98,,173280,,--,,67,,10,,0.00,,0,,
10/01/2008,744.93,,173139,,-141,,71,,8,,0.00,,0,,
10/02/2008,744.86,,172943,,-196,,77,,4,,0.00,,0,,
10/03/2008,744.80,,172774,,-169,,69,,3,,0.00,,0,,
10/04/2008,744.75,,172634,,-140,,55,,-15,,0.06,,0,,
10/05/2008,744.70,,172493,,-141,,41,,-24,,0.03,,0,,
10/06/2008,744.67,,172409,,-84,,40,,16,,0.00,,0,,
10/07/2008,744.61,,172240,,-169,,68,,-0,,0.00,,0,,
10/08/2008,744.55,,172072,,-168,,69,,5,,0.00,,0,,
10/09/2008,744.48,,171875,,-197,,69,,-11,,0.00,,0,,
10/10/2008,744.42,,171707,,-168,,63,,1,,0.00,,0,,
10/11/2008,744.35,,171510,,-197,,56,,-26,,0.00,,0,,
10/12/2008,744.29,,171342,,-168,,43,,-26,,0.00,,0,,
10/13/2008,744.24,,171201,,-141,,53,,-3,,0.00,,0,,
10/14/2008,744.17,,171005,,-196,,72,,-11,,0.00,,0,,
10/15/2008,744.12,,170864,,-141,,49,,-4,,0.00,,0,,
10/16/2008,744.07,,170724,,-140,,59,,3,,0.00,,0,,
10/17/2008,744.02,,170583,,-141,,73,,17,,0.00,,0,,
10/18/2008,743.95,,170389,,-194,,64,,-12,,0.00,,0,,
10/19/2008,743.91,,170278,,-111,,48,,8,,0.00,,0,,
10/20/2008,743.86,,170139,,-139,,44,,-14,,0.00,,0,,
10/21/2008,743.82,,170029,,-110,,50,,5,,0.00,,0,,
10/22/2008,743.80,,169973,,-56,,42,,15,,0.00,,0,,
10/23/2008,743.75,,169835,,-138,,54,,5,,0.00,,0,,
10/24/2008,743.69,,169669,,-166,,65,,4,,0.00,,0,,
10/25/2008,743.63,,169503,,-166,,61,,-4,,0.00,,0,,
10/26/2008,743.59,,169392,,-111,,52,,13,,0.00,,0,,
10/27/2008,743.54,,169254,,-138,,45,,-10,,0.00,,0,,
10/28/2008,743.50,,169143,,-111,,46,,2,,0.00,,0,,
10/29/2008,743.45,,169005,,-138,,61,,5,,0.00,,0,,
10/30/2008,743.41,,168894,,-111,,76,,35,,0.00,,0,,
10/31/2008,743.34,,168700,,-194,,55,,-32,,0.06,,0,,
