04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
11/25/2003,72547,,-237,,152,,0.00,,
11/26/2003,72292,,-255,,151,,0.00,,
11/27/2003,72030,,-262,,152,,0.00,,
11/28/2003,71801,,-229,,153,,0.00,,
11/29/2003,71534,,-267,,153,,0.00,,
11/30/2003,71287,,-247,,152,,0.00,,
12/01/2003,71046,,-241,,152,,0.02,,
12/02/2003,70798,,-248,,152,,0.17,,
12/03/2003,70558,,-240,,152,,0.00,,
12/04/2003,70558,,0,,152,,0.00,,
12/05/2003,70722,,164,,152,,0.36,,
12/06/2003,70773,,51,,147,,0.36,,
12/07/2003,71002,,229,,147,,1.79,,
12/08/2003,71096,,94,,149,,0.03,,
12/09/2003,71382,,286,,151,,0.00,,
12/10/2003,72069,,687,,149,,0.76,,
12/11/2003,72572,,503,,150,,0.82,,
12/12/2003,72777,,205,,150,,0.00,,
12/13/2003,72982,,205,,150,,0.56,,
12/14/2003,73129,,147,,151,,0.38,,
12/15/2003,73398,,269,,151,,0.45,,
12/16/2003,73501,,--,,151,,0.00,,
12/17/2003,73521,,20,,151,,0.00,,
12/18/2003,73265,,-256,,429,,0.00,,
12/19/2003,72317,,-948,,650,,0.00,,
12/20/2003,71521,,-796,,647,,0.50,,
12/21/2003,70938,,-583,,646,,0.14,,
12/22/2003,70350,,-588,,645,,0.00,,
12/23/2003,70097,,-253,,644,,0.00,,
12/24/2003,69178,,-919,,623,,0.48,,
12/25/2003,68421,,-757,,640,,1.97,,
12/26/2003,67809,,-612,,639,,0.29,,
12/27/2003,67504,,-305,,638,,0.00,,
12/28/2003,67150,,-354,,637,,0.00,,
12/29/2003,66958,,-192,,636,,0.20,,
12/30/2003,66518,,-440,,635,,0.00,,
12/31/2003,65765,,-753,,634,,0.15,,
01/01/2004,65131,,-634,,627,,1.68,,
01/02/2004,64635,,-496,,624,,0.77,,
01/03/2004,64084,,-551,,629,,0.33,,
01/04/2004,63725,,-359,,628,,0.00,,
01/05/2004,63469,,-256,,628,,0.00,,
01/06/2004,63408,,-61,,627,,0.00,,
01/07/2004,62790,,-618,,626,,0.13,,
01/08/2004,62240,,-550,,625,,0.05,,
01/09/2004,61752,,-488,,623,,0.00,,
01/10/2004,60893,,-859,,622,,0.00,,
01/11/2004,59866,,-1027,,619,,0.00,,
01/12/2004,59408,,-458,,617,,0.00,,
01/13/2004,59004,,-404,,616,,0.00,,
01/14/2004,58489,,-515,,615,,0.00,,
01/15/2004,57928,,-561,,613,,0.00,,
01/16/2004,57405,,-523,,612,,0.00,,
01/17/2004,56633,,-772,,610,,0.00,,
01/18/2004,56004,,-629,,608,,0.00,,
01/19/2004,55297,,-707,,605,,0.00,,
01/20/2004,54684,,-613,,603,,0.00,,
01/21/2004,54315,,-369,,602,,0.00,,
01/22/2004,54016,,-299,,601,,0.00,,
01/23/2004,53431,,-585,,600,,0.00,,
01/24/2004,52860,,-571,,598,,0.02,,
01/25/2004,52252,,-608,,596,,0.00,,
01/26/2004,51861,,-391,,595,,0.00,,
01/27/2004,51425,,-436,,593,,0.10,,
01/28/2004,50930,,-495,,592,,0.58,,
01/29/2004,50424,,-506,,591,,0.00,,
01/30/2004,49920,,-504,,589,,0.00,,
01/31/2004,48896,,-1024,,587,,0.10,,
02/01/2004,48194,,-702,,583,,0.00,,
02/02/2004,47780,,-414,,580,,0.06,,
02/03/2004,47281,,-499,,580,,1.19,,
02/04/2004,46778,,-503,,579,,0.14,,
02/05/2004,46016,,-762,,577,,0.00,,
02/06/2004,45533,,-483,,275,,0.00,,
02/07/2004,44547,,--,,572,,0.18,,
02/08/2004,44011,,-536,,569,,0.00,,
02/09/2004,43132,,-879,,568,,0.00,,
02/10/2004,42401,,-731,,556,,0.00,,
02/11/2004,41779,,-622,,562,,0.00,,
02/12/2004,41386,,-393,,559,,0.00,,
02/13/2004,40916,,-470,,559,,0.00,,
02/14/2004,40125,,-791,,557,,0.00,,
02/15/2004,39411,,-714,,554,,0.00,,
