05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
03/02/2004,6744,,-347,,319,,
03/03/2004,6583,,-161,,243,,
03/04/2004,6539,,-44,,191,,
03/05/2004,6132,,-407,,364,,
03/06/2004,5979,,-153,,260,,
03/07/2004,5979,,0,,234,,
03/08/2004,6104,,125,,246,,
03/09/2004,6330,,226,,329,,
03/10/2004,6511,,181,,368,,
03/11/2004,6694,,183,,403,,
03/12/2004,6718,,24,,519,,
03/13/2004,6727,,9,,512,,
03/14/2004,6716,,-11,,585,,
03/15/2004,7002,,286,,494,,
03/16/2004,7052,,50,,725,,
03/17/2004,7038,,-14,,753,,
03/18/2004,7185,,147,,753,,
03/19/2004,7495,,310,,754,,
03/20/2004,7936,,441,,726,,
03/21/2004,8618,,682,,751,,
03/22/2004,9405,,787,,751,,
03/23/2004,10207,,802,,749,,
03/24/2004,10946,,739,,744,,
03/25/2004,11444,,498,,743,,
03/26/2004,11563,,119,,743,,
03/27/2004,11418,,-145,,743,,
03/28/2004,11274,,-144,,741,,
03/29/2004,11276,,2,,741,,
03/30/2004,11442,,166,,741,,
03/31/2004,11667,,225,,741,,
04/01/2004,11882,,215,,742,,
04/02/2004,11856,,--,,740,,
04/03/2004,11933,,77,,740,,
04/04/2004,12224,,291,,687,,
04/05/2004,12763,,539,,739,,
04/06/2004,13342,,579,,738,,
04/07/2004,13874,,532,,679,,
04/08/2004,14713,,839,,589,,
04/09/2004,15952,,1239,,369,,
04/10/2004,17052,,1100,,562,,
04/11/2004,18048,,996,,465,,
04/12/2004,18895,,847,,608,,
04/13/2004,19779,,884,,589,,
04/14/2004,20372,,593,,610,,
04/15/2004,20572,,200,,722,,
04/16/2004,20581,,9,,721,,
04/17/2004,20930,,349,,474,,
04/18/2004,21163,,233,,492,,
04/19/2004,21036,,-127,,707,,
04/20/2004,20563,,-473,,694,,
04/21/2004,20265,,--,,709,,
04/22/2004,19918,,-347,,719,,
04/23/2004,20025,,107,,488,,
04/24/2004,20471,,446,,430,,
04/25/2004,21036,,565,,472,,
04/26/2004,21979,,943,,484,,
04/27/2004,23368,,1389,,450,,
04/28/2004,24886,,1518,,450,,
04/29/2004,26233,,1347,,422,,
04/30/2004,27171,,938,,535,,
05/01/2004,28636,,1465,,316,,
05/02/2004,30392,,1756,,454,,
05/03/2004,32211,,1819,,321,,
05/04/2004,34265,,2054,,481,,
05/05/2004,36254,,1989,,562,,
05/06/2004,38050,,1796,,458,,
05/07/2004,39875,,1825,,--,,
05/08/2004,41689,,1814,,--,,
05/09/2004,43241,,1552,,363,,
05/10/2004,44885,,1644,,301,,
05/11/2004,46364,,1479,,302,,
05/12/2004,47335,,971,,390,,
05/13/2004,48306,,971,,399,,
05/14/2004,49633,,--,,332,,
05/15/2004,51065,,1432,,333,,
05/16/2004,52358,,1293,,352,,
05/17/2004,53662,,1304,,394,,
05/18/2004,54833,,1171,,433,,
05/19/2004,55719,,886,,446,,
05/20/2004,56620,e,901,,--,,
05/21/2004,56680,,60,,699,,
05/22/2004,56837,,157,,699,,
05/23/2004,57022,,185,,699,,
05/24/2004,57237,,215,,699,,
05/25/2004,57415,,178,,700,,
05/26/2004,57520,,105,,697,,
05/27/2004,58300,,780,,485,,
05/28/2004,60333,,2033,,502,,
05/29/2004,61559,,1226,,547,,
05/30/2004,62383,,824,,573,,
05/31/2004,62998,,615,,692,,
06/01/2004,63766,,768,,693,,
06/02/2004,63934,,168,,967,,
06/03/2004,64018,,84,,1030,,
06/04/2004,64144,,126,,1003,,
06/05/2004,64153,,9,,1000,,
06/06/2004,64157,,4,,1027,,
06/07/2004,64149,,-8,,1019,,
06/08/2004,64069,,-80,,895,,
06/09/2004,63846,,-223,,767,,
06/10/2004,63554,,-292,,692,,
06/11/2004,63220,,-334,,690,,
06/12/2004,62906,,-314,,693,,
06/13/2004,62685,,-221,,690,,
06/14/2004,62664,,-21,,693,,
06/15/2004,63258,,594,,436,,
06/16/2004,63888,,630,,420,,
06/17/2004,63913,,25,,673,,
06/18/2004,63808,,-105,,692,,
06/19/2004,63586,,-222,,680,,
06/20/2004,63271,,-315,,692,,
06/21/2004,62977,,-294,,646,,
06/22/2004,62873,,-104,,505,,
06/23/2004,63090,,217,,410,,
06/24/2004,63204,,114,,441,,
06/25/2004,63279,,75,,402,,
06/26/2004,63397,,118,,352,,
06/27/2004,63552,,155,,308,,
06/28/2004,63619,,67,,349,,
06/29/2004,63619,,0,,334,,
06/30/2004,63880,,261,,226,,
07/01/2004,63775,,-105,,410,,
07/02/2004,63430,,-345,,438,,
07/03/2004,63061,,-369,,442,,
07/04/2004,62689,,-372,,439,,
07/05/2004,62313,,-376,,446,,
07/06/2004,61934,,-379,,457,,
07/07/2004,61655,,-279,,336,,
07/08/2004,61488,,-167,,338,,
07/09/2004,61555,,67,,202,,
07/10/2004,62017,,462,,0,,
07/11/2004,61917,,-100,,255,,
07/12/2004,61493,,-424,,388,,
07/13/2004,61360,,-133,,238,,
07/14/2004,61182,,-178,,269,,
07/15/2004,60916,,-266,,308,,
07/16/2004,60717,,-199,,257,,
07/17/2004,60634,,-83,,205,,
07/18/2004,60465,,-169,,258,,
07/19/2004,60263,,-202,,258,,
07/20/2004,60044,,-219,,283,,
07/21/2004,59686,,-358,,311,,
07/22/2004,59307,,-379,,332,,
07/23/2004,59071,,-236,,258,,
07/24/2004,58976,,-95,,179,,
07/25/2004,58686,,-290,,287,,
07/26/2004,58193,,-493,,370,,
07/27/2004,57694,,-499,,360,,
07/28/2004,57204,,-490,,344,,
07/29/2004,56945,,-259,,243,,
07/30/2004,56756,,-189,,205,,
07/31/2004,56522,,-234,,242,,
08/01/2004,56442,,-80,,140,,
08/02/2004,56289,,-153,,169,,
08/03/2004,56164,,-125,,162,,
08/04/2004,55863,,-301,,262,,
08/05/2004,55571,,-292,,232,,
08/06/2004,55287,,-284,,232,,
08/07/2004,54921,,-366,,292,,
08/08/2004,54617,,-304,,234,,
08/09/2004,54077,,-540,,367,,
08/10/2004,53485,,-592,,366,,
08/11/2004,52898,,-587,,387,,
08/12/2004,52421,,-477,,323,,
08/13/2004,52217,,-204,,162,,
08/14/2004,52166,,-51,,119,,
08/15/2004,52084,,6918,,96,,
08/16/2004,51694,,-390,,307,,
08/17/2004,51193,,-501,,321,,
08/18/2004,50782,,-411,,283,,
08/19/2004,50365,,-417,,286,,
08/20/2004,49895,,-470,,315,,
08/21/2004,49568,,-327,,207,,
08/22/2004,49695,,127,,24,,
08/23/2004,49533,,-162,,155,,
08/24/2004,49227,,-306,,240,,
08/25/2004,48699,,-528,,350,,
08/26/2004,48234,,-465,,303,,
08/27/2004,47843,,-391,,268,,
08/28/2004,47343,,-500,,343,,
08/29/2004,46813,,-530,,314,,
08/30/2004,46312,,-501,,348,,
08/31/2004,45752,,-560,,320,,
09/01/2004,45157,,-595,,375,,
09/02/2004,44706,,-451,,269,,
09/03/2004,44509,,-197,,163,,
09/04/2004,44183,,-326,,239,,
09/05/2004,43757,,-426,,294,,
09/06/2004,43297,,-460,,302,,
09/07/2004,42864,,-433,,292,,
09/08/2004,42423,,-441,,297,,
09/09/2004,42014,,-409,,261,,
09/10/2004,41700,,-314,,216,,
09/11/2004,41337,,-363,,268,,
09/12/2004,40895,,-442,,300,,
09/13/2004,40527,,-368,,269,,
09/14/2004,40127,,-400,,282,,
09/15/2004,39778,,-349,,216,,
09/16/2004,39473,,-305,,218,,
09/17/2004,39168,,-305,,213,,
09/18/2004,38954,,-214,,106,,
09/19/2004,39032,,78,,15,,
09/20/2004,39108,,76,,15,,
09/21/2004,38750,,-358,,240,,
09/22/2004,38608,,-142,,120,,
09/23/2004,38202,,-406,,268,,
09/24/2004,37833,,-369,,216,,
09/25/2004,37653,,-180,,128,,
09/26/2004,37275,,-378,,254,,
09/27/2004,36829,,-446,,244,,
09/28/2004,36642,,-187,,132,,
09/29/2004,36380,,-262,,191,,
09/30/2004,36184,,-196,,147,,
10/01/2004,35817,,-367,,200,,
10/02/2004,35647,,-170,,142,,
10/03/2004,35314,,-333,,193,,
10/04/2004,34891,,-423,,237,,
10/05/2004,34483,,-408,,250,,
10/06/2004,34138,,-345,,210,,
10/07/2004,33845,,-293,,185,,
10/08/2004,33523,,-322,,190,,
10/09/2004,33574,,51,,15,,
10/10/2004,33403,,-171,,166,,
10/11/2004,33417,,14,,15,,
10/12/2004,33386,,-31,,52,,
10/13/2004,32925,,-461,,274,,
10/14/2004,32462,,-463,,268,,
10/15/2004,32085,,-377,,228,,
10/16/2004,32119,,34,,15,,
10/17/2004,32095,,-24,,104,,
10/18/2004,32106,,11,,123,,
10/19/2004,32038,,-68,,123,,
10/20/2004,31930,,-108,,195,,
10/21/2004,31805,,-125,,119,,
10/22/2004,31454,,-351,,266,,
10/23/2004,31441,,-13,,103,,
10/24/2004,31340,,-101,,184,,
10/25/2004,30716,,-624,,424,,
10/26/2004,30115,,-601,,444,,
10/27/2004,29417,,-698,,453,,
10/28/2004,29763,,346,,387,,
10/29/2004,27993,,-1770,,428,,
10/30/2004,27739,,-254,,243,,
10/31/2004,27167,,-572,,394,,
11/01/2004,26324,,-843,,499,,
11/02/2004,25569,,-755,,461,,
11/03/2004,24845,,-724,,495,,
11/04/2004,24315,,-530,,411,,
11/05/2004,23293,,-1022,,601,,
11/06/2004,22738,,-555,,429,,
11/07/2004,22136,,-602,,411,,
11/08/2004,21462,,-674,,466,,
11/09/2004,20848,,-614,,452,,
11/10/2004,20348,,-500,,409,,
11/11/2004,19987,,-361,,294,,
11/12/2004,19488,,-499,,426,,
11/13/2004,19167,,-321,,315,,
11/14/2004,18717,,-450,,339,,
11/15/2004,18017,,-700,,494,,
11/16/2004,17004,,-1013,,622,,
11/17/2004,16439,,-565,,399,,
11/18/2004,15751,,-688,,471,,
11/19/2004,15264,,-487,,380,,
11/20/2004,14766,,-498,,357,,
11/21/2004,14372,,-394,,323,,
11/22/2004,14309,,-63,,147,,
11/23/2004,13594,,-715,,522,,
11/24/2004,12950,,-644,,412,,
11/25/2004,13020,,70,,80,,
11/26/2004,13047,,27,,116,,
11/27/2004,13147,,100,,116,,
11/28/2004,13022,,-125,,168,,
11/29/2004,12650,,-372,,289,,
11/30/2004,12114,,-536,,379,,
12/01/2004,11344,,-770,,506,,
12/02/2004,10460,,-884,,607,,
12/03/2004,9690,,-770,,505,,
12/04/2004,8941,,-749,,486,,
12/05/2004,8249,,-692,,400,,
12/06/2004,8432,,183,,10,,
12/07/2004,8681,,249,,10,,
12/08/2004,8954,,273,,10,,
12/09/2004,9231,,277,,10,,
12/10/2004,9510,,279,,10,,
12/11/2004,9798,,288,,10,,
12/12/2004,10106,,308,,10,,
12/13/2004,10410,,304,,10,,
12/14/2004,10699,,289,,0,,
12/15/2004,10988,,289,,10,,
12/16/2004,11263,,275,,10,,
12/17/2004,11508,,245,,10,,
12/18/2004,11765,,257,,10,,
12/19/2004,12024,,259,,10,,
12/20/2004,12288,,264,,10,,
12/21/2004,12546,,258,,10,,
12/22/2004,12785,,239,,10,,
12/23/2004,12947,,162,,10,,
12/24/2004,13117,,170,,10,,
12/25/2004,13345,,228,,10,,
12/26/2004,13591,,246,,10,,
12/27/2004,13836,,245,,10,,
12/28/2004,14090,,254,,10,,
12/29/2004,14345,,255,,10,,
12/30/2004,14457,,112,,68,,
12/31/2004,14683,,226,,10,,
01/01/2005,14928,,245,,10,,
01/02/2005,15172,,244,,10,,
01/03/2005,15311,,139,,75,,
01/04/2005,15286,,-25,,161,,
01/05/2005,14865,,-421,,309,,
01/06/2005,14323,,-542,,395,,
01/07/2005,13847,,-476,,386,,
01/08/2005,13618,,-229,,268,,
01/09/2005,13309,,-309,,305,,
01/10/2005,12879,,-430,,425,,
01/11/2005,12412,,-467,,440,,
01/12/2005,11943,,-469,,352,,
01/13/2005,11762,,-181,,215,,
01/14/2005,11495,,-267,,284,,
01/15/2005,11574,,79,,101,,
01/16/2005,11734,,160,,69,,
01/17/2005,11773,,39,,132,,
01/18/2005,11558,,-215,,271,,
01/19/2005,11582,,24,,163,,
01/20/2005,11779,,197,,80,,
01/21/2005,11914,,135,,132,,
01/22/2005,12073,,159,,132,,
01/23/2005,12226,,153,,145,,
