05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
06/07/2007,62547,,-196,,474,,
06/08/2007,62329,,-218,,472,,
06/09/2007,62358,,29,,344,,
06/10/2007,62409,,51,,349,,
06/11/2007,62480,,71,,351,,
06/12/2007,62567,,87,,336,,
06/13/2007,62526,,-41,,402,,
06/14/2007,62514,,-12,,379,,
06/15/2007,62434,,-80,,404,,
06/16/2007,62501,,67,,315,,
06/17/2007,62547,,46,,308,,
06/18/2007,62514,,-33,,312,,
06/19/2007,62459,,-55,,314,,
06/20/2007,62396,,-63,,317,,
06/21/2007,62350,,-46,,284,,
06/22/2007,62392,,42,,223,,
06/23/2007,62375,,-17,,243,,
06/24/2007,62367,,-8,,229,,
06/25/2007,62187,,-180,,306,,
06/26/2007,62179,,--,,214,,
06/27/2007,62179,,0,,203,,
06/28/2007,62175,,-4,,199,,
06/29/2007,62125,,-50,,178,,
06/30/2007,61909,,-216,,262,,
07/01/2007,61460,,-449,,341,,
07/02/2007,61173,,-287,,546,,
07/03/2007,60800,,-373,,332,,
07/04/2007,60428,,-372,,318,,
07/05/2007,60002,,-426,,355,,
07/06/2007,59571,,-431,,352,,
07/07/2007,59517,,-54,,158,,
07/08/2007,59262,,-255,,259,,
07/09/2007,58870,,-392,,325,,
07/10/2007,58490,,-380,,320,,
07/11/2007,58112,,-378,,341,,
07/12/2007,57723,,-389,,323,,
07/13/2007,57322,,-401,,322,,
07/14/2007,56889,,-433,,325,,
07/15/2007,56498,,-391,,325,,
07/16/2007,56083,e,-415,,430,,
07/17/2007,55667,,-416,,326,,
07/18/2007,55263,,-404,,324,,
07/19/2007,54841,,-422,,326,,
07/20/2007,54429,,-412,,326,,
07/21/2007,54005,,-424,,325,,
07/22/2007,53508,,-497,,327,,
07/23/2007,53095,e,-413,,326,,
07/24/2007,52683,,-412,,325,,
07/25/2007,52268,,-415,,327,,
07/26/2007,51831,,-437,,328,,
07/27/2007,51555,,-276,,242,,
07/28/2007,51398,,-157,,181,,
07/29/2007,51531,,133,,27,,
07/30/2007,51325,,-206,,153,,
07/31/2007,51135,,-190,,182,,
08/01/2007,50817,,-318,,275,,
08/02/2007,50508,,-309,,236,,
08/03/2007,49991,,-517,,342,,
08/04/2007,49826,,-165,,153,,
08/05/2007,49826,,0,,75,,
08/06/2007,49483,,-343,,232,,
08/07/2007,49269,,-214,,202,,
08/08/2007,48971,,-298,,241,,
08/09/2007,48745,,-226,,196,,
08/10/2007,48475,,-270,,218,,
08/11/2007,48120,,-355,,270,,
08/12/2007,47797,,-323,,243,,
08/13/2007,47426,,-371,,273,,
08/14/2007,47108,,-318,,237,,
08/15/2007,46715,,-393,,269,,
08/16/2007,46244,,-471,,299,,
08/17/2007,45763,,-481,,294,,
08/18/2007,45351,,-412,,285,,
08/19/2007,44918,,-433,,300,,
08/20/2007,44450,,-468,,314,,
08/21/2007,44053,,-397,,269,,
08/22/2007,43624,,-429,,288,,
08/23/2007,43098,,-526,,339,,
08/24/2007,42591,,-507,,331,,
08/25/2007,41981,,-610,,344,,
08/26/2007,41450,,-531,,360,,
08/27/2007,40852,,-598,,371,,
08/28/2007,40260,,-592,,382,,
08/29/2007,39778,,-482,,324,,
08/30/2007,39025,,-753,,455,,
08/31/2007,38341,,-684,,383,,
09/01/2007,37788,,-553,,361,,
09/02/2007,37480,,-308,,216,,
09/03/2007,37335,,-145,,128,,
09/04/2007,37201,,-134,,133,,
09/05/2007,37050,,-151,,135,,
09/06/2007,36874,,-176,,138,,
09/07/2007,36716,,-158,,133,,
09/08/2007,36562,,-154,,135,,
09/09/2007,36604,,42,,26,,
09/10/2007,36520,,-84,,107,,
09/11/2007,36439,,-81,,98,,
09/12/2007,36324,,-115,,112,,
09/13/2007,36226,,--,,111,,
09/14/2007,36100,,-126,,108,,
09/15/2007,35975,,-125,,108,,
09/16/2007,35824,,-151,,124,,
09/17/2007,35643,,-181,,110,,
09/18/2007,35480,,-163,,112,,
09/19/2007,35349,,-131,,108,,
09/20/2007,35129,,-220,,150,,
09/21/2007,34933,,-196,,153,,
09/22/2007,34760,,-173,,145,,
09/23/2007,34614,,-146,,144,,
09/24/2007,34476,,-138,,111,,
09/25/2007,34331,,-145,,131,,
09/26/2007,34176,,-155,,131,,
09/27/2007,33979,,-197,,150,,
09/28/2007,33756,,--,,163,,
09/29/2007,33694,,-62,,86,,
09/30/2007,33581,,-113,,111,,
10/01/2007,33331,,-250,,173,,
10/02/2007,33201,,-130,,115,,
10/03/2007,33119,,-82,,92,,
10/04/2007,33007,,-112,,107,,
10/05/2007,32873,,-134,,116,,
10/06/2007,32819,,-54,,89,,
10/07/2007,32631,,-188,,87,,
10/08/2007,32377,,-254,,143,,
10/09/2007,32112,,-265,,184,,
10/10/2007,31892,,-220,,171,,
10/11/2007,31596,,-296,,--,,
10/12/2007,31151,,-445,,277,,
10/13/2007,30476,,-675,,400,,
10/14/2007,30215,,-261,,186,,
10/15/2007,30236,,21,,27,,
10/16/2007,30299,,63,,27,,
10/17/2007,30376,,77,,27,,
10/18/2007,30432,,56,,27,,
10/19/2007,30502,,70,,27,,
10/20/2007,30605,,103,,27,,
10/21/2007,30669,,64,,27,,
10/22/2007,30739,,70,,27,,
10/23/2007,30790,,51,,27,,
10/24/2007,30854,,64,,27,,
10/25/2007,30900,,46,,27,,
10/26/2007,30780,,-120,,127,,
10/27/2007,30549,,-231,,172,,
10/28/2007,30243,,-306,,214,,
10/29/2007,29923,,-320,,217,,
10/30/2007,29500,,-423,,279,,
10/31/2007,29009,,-491,,309,,
11/01/2007,28626,,-383,,248,,
11/02/2007,27996,,-630,,262,,
11/03/2007,27632,,-364,,243,,
11/04/2007,27385,,-247,,175,,
11/05/2007,26990,,-395,,254,,
11/06/2007,26562,,-428,,278,,
11/07/2007,26211,,-351,,238,,
11/08/2007,26012,,-199,,155,,
11/09/2007,25731,,-281,,210,,
11/10/2007,25400,,-331,,232,,
11/11/2007,25241,,-159,,177,,
11/12/2007,24816,,-425,,277,,
11/13/2007,24494,,-322,,206,,
11/14/2007,24188,,-306,,223,,
11/15/2007,23808,,-380,,221,,
11/16/2007,23503,,-305,,222,,
11/17/2007,23240,,-263,,204,,
11/18/2007,22947,,-293,,221,,
11/19/2007,22432,,-515,,312,,
11/20/2007,22148,,-284,,201,,
11/21/2007,21693,,-455,,284,,
11/22/2007,21383,,-310,,217,,
11/23/2007,21267,,-116,,117,,
11/24/2007,21154,,-113,,120,,
11/25/2007,21054,,-100,,121,,
11/26/2007,20656,,-398,,268,,
11/27/2007,20342,,-314,,231,,
11/28/2007,20064,,-278,,212,,
11/29/2007,19862,,-202,,167,,
11/30/2007,19599,,-263,,199,,
12/01/2007,22585,,2986,,403,,
12/02/2007,19243,,-3342,,159,,
12/03/2007,19050,,-193,,135,,
12/04/2007,18956,,-94,,117,,
12/05/2007,18535,,-421,,286,,
12/06/2007,18175,,-360,,276,,
12/07/2007,17864,,-311,,250,,
12/08/2007,17542,,-322,,241,,
12/09/2007,17300,,-242,,197,,
12/10/2007,16981,,--,,230,,
12/11/2007,16754,,-227,,178,,
12/12/2007,16489,,-265,,205,,
12/13/2007,16168,,-321,,217,,
12/14/2007,16053,,-115,,110,,
12/15/2007,15924,,-129,,155,,
12/16/2007,15779,,-145,,142,,
12/17/2007,15477,,-302,,227,,
12/18/2007,15355,,-122,,163,,
12/19/2007,15116,,-239,,199,,
12/20/2007,14901,,-215,,204,,
12/21/2007,14835,,-66,,84,,
12/22/2007,14801,,-34,,99,,
12/23/2007,14702,,-99,,141,,
12/24/2007,14567,,-135,,137,,
12/25/2007,14435,,-132,,144,,
12/26/2007,14235,,-200,,179,,
12/27/2007,13904,,-331,,240,,
12/28/2007,13570,,-334,,254,,
12/29/2007,13529,,-41,,107,,
12/30/2007,13366,,-163,,173,,
12/31/2007,13182,,-184,,170,,
01/01/2008,12931,,-251,,220,,
01/02/2008,12677,,-254,,218,,
01/03/2008,12433,,-244,,198,,
01/04/2008,12546,,113,,--,,
01/05/2008,12516,,-30,,167,,
01/06/2008,12267,,-249,,231,,
01/07/2008,12127,,-140,,140,,
01/08/2008,12288,,161,,25,,
01/09/2008,12215,,-73,,146,,
01/10/2008,12111,,-104,,148,,
01/11/2008,11598,,-513,,363,,
01/12/2008,11307,,-291,,203,,
01/13/2008,10899,,-408,,304,,
01/14/2008,10496,,-403,,249,,
01/15/2008,10072,,-424,,308,,
01/16/2008,9705,,-367,,276,,
01/17/2008,9320,,-385,,273,,
01/18/2008,9149,,-171,,176,,
01/19/2008,8939,,-210,,200,,
01/20/2008,8835,,-104,,139,,
01/21/2008,8613,,-222,,198,,
01/22/2008,8489,,-124,,145,,
01/23/2008,8204,,-285,,226,,
01/24/2008,7983,,-221,,--,,
01/25/2008,8070,,87,,26,,
01/26/2008,8003,,-67,,142,,
01/27/2008,7963,,-40,,146,,
01/28/2008,7870,,-93,,145,,
01/29/2008,7750,,-120,,141,,
01/30/2008,7725,,-25,,119,,
01/31/2008,7640,,-85,,145,,
02/01/2008,7459,,-181,,165,,
02/02/2008,7420,,-39,,140,,
02/03/2008,7535,,115,,26,,
02/04/2008,7285,,-250,,236,,
02/05/2008,7057,,-228,,--,,
02/06/2008,6782,,-275,,165,,
02/07/2008,6598,,-184,,106,,
02/08/2008,6792,,194,,103,,
02/09/2008,6925,,133,,39,,
02/10/2008,7045,,120,,44,,
02/11/2008,6920,,-125,,187,,
02/12/2008,6574,,-346,,275,,
02/13/2008,6421,,-153,,198,,
02/14/2008,6400,,-21,,113,,
02/15/2008,6226,,-174,,177,,
02/16/2008,6290,,64,,70,,
02/17/2008,6302,,12,,137,,
02/18/2008,6382,,80,,121,,
02/19/2008,6382,,0,,134,,
02/20/2008,6380,,-2,,141,,
02/21/2008,6389,,9,,223,,
02/22/2008,6468,,79,,90,,
02/23/2008,6529,,61,,111,,
02/24/2008,6536,,7,,148,,
02/25/2008,6513,,-23,,127,,
02/26/2008,6511,,-2,,128,,
02/27/2008,6574,,63,,93,,
02/28/2008,6638,,64,,124,,
02/29/2008,6770,,--,,89,,
03/01/2008,6949,,179,,139,,
03/02/2008,7002,,53,,146,,
03/03/2008,7062,,60,,110,,
03/04/2008,7172,,110,,125,,
03/05/2008,7240,,68,,156,,
03/06/2008,7252,,12,,172,,
03/07/2008,6999,,-253,,285,,
03/08/2008,6923,,-76,,215,,
03/09/2008,6883,,-40,,216,,
03/10/2008,6854,,-29,,166,,
03/11/2008,6990,,136,,186,,
03/12/2008,7062,,72,,204,,
03/13/2008,7343,,281,,218,,
03/14/2008,7691,,348,,220,,
03/15/2008,7956,,265,,155,,
03/16/2008,8065,,109,,416,,
03/17/2008,7904,,-161,,270,,
03/18/2008,7669,,-235,,354,,
03/19/2008,7432,,-237,,402,,
03/20/2008,7252,,-180,,422,,
03/21/2008,7028,,-224,,404,,
03/22/2008,6975,,-53,,360,,
03/23/2008,7028,,53,,296,,
03/24/2008,6925,,-103,,455,,
03/25/2008,7325,,400,,223,,
03/26/2008,7625,,300,,265,,
03/27/2008,7652,,27,,457,,
03/28/2008,7304,,-348,,532,,
03/29/2008,7282,,-22,,333,,
03/30/2008,7064,,-218,,443,,
03/31/2008,6628,,-436,,514,,
04/01/2008,6185,,-443,,506,,
04/02/2008,6111,,-74,,321,,
04/03/2008,6226,,115,,232,,
04/04/2008,6532,,306,,227,,
04/05/2008,6987,,455,,190,,
04/06/2008,7386,,399,,232,,
04/07/2008,7657,,271,,277,,
04/08/2008,7857,,200,,303,,
04/09/2008,7728,,-129,,492,,
04/10/2008,7479,,-249,,516,,
04/11/2008,7250,,-229,,570,,
04/12/2008,7294,,44,,564,,
04/13/2008,7637,,343,,554,,
04/14/2008,8142,,505,,596,,
04/15/2008,8479,,337,,660,,
04/16/2008,8863,,384,,450,,
04/17/2008,8961,,98,,638,,
04/18/2008,9193,,232,,672,,
04/19/2008,9489,,296,,639,,
04/20/2008,9592,,103,,653,,
04/21/2008,9356,,-236,,702,,
04/22/2008,8936,,-420,,749,,
04/23/2008,8454,,-482,,734,,
04/24/2008,8147,,-307,,603,,
04/25/2008,7810,,-337,,654,,
04/26/2008,7832,,22,,621,,
04/27/2008,8411,,579,,622,,
04/28/2008,9705,,1294,,545,,
04/29/2008,11025,,1320,,536,,
04/30/2008,11869,,844,,614,,
05/01/2008,12087,,218,,740,,
05/02/2008,12347,,260,,707,,
05/03/2008,12690,,343,,713,,
05/04/2008,12993,,303,,722,,
05/05/2008,13220,,227,,714,,
05/06/2008,13823,,603,,704,,
05/07/2008,14727,,904,,682,,
05/08/2008,15644,,917,,601,,
05/09/2008,16941,,1297,,409,,
05/10/2008,18378,,1437,,326,,
05/11/2008,20040,,1662,,334,,
05/12/2008,21511,,1471,,393,,
05/13/2008,22735,,1224,,365,,
05/14/2008,23538,,803,,435,,
05/15/2008,26220,,2682,,256,,
05/16/2008,29311,,3091,,382,,
05/17/2008,32136,,2825,,488,,
05/18/2008,35023,,2887,,452,,
05/19/2008,37670,,2647,,509,,
05/20/2008,40183,,2513,,401,,
05/21/2008,42745,,2562,,278,,
05/22/2008,44290,,1545,,3508,,
05/23/2008,45202,,912,,385,,
05/24/2008,46266,,1064,,260,,
05/25/2008,47250,,984,,238,,
05/26/2008,48299,,1049,,203,,
05/27/2008,49158,,859,,298,,
05/28/2008,49672,,514,,444,,
05/29/2008,50365,,693,,339,,
05/30/2008,51185,,820,,273,,
05/31/2008,52319,,1134,,208,,
06/01/2008,53619,,1300,,243,,
06/02/2008,55036,,1417,,316,,
06/03/2008,56494,,1458,,304,,
06/04/2008,57718,,1224,,445,,
06/05/2008,58548,,830,,741,,
06/06/2008,59205,,657,,741,,
06/07/2008,59896,,691,,739,,
06/08/2008,60349,,453,,742,,
06/09/2008,60978,,629,,742,,
06/10/2008,61746,,768,,742,,
06/11/2008,62409,,663,,712,,
06/12/2008,62752,,343,,741,,
06/13/2008,63170,,418,,741,,
06/14/2008,63477,,307,,809,,
06/15/2008,63712,,235,,847,,
06/16/2008,63855,,143,,847,,
06/17/2008,63901,,46,,823,,
06/18/2008,63951,,50,,789,,
06/19/2008,63926,,-25,,771,,
06/20/2008,63859,,-67,,736,,
06/21/2008,63846,,-13,,736,,
06/22/2008,63901,,55,,736,,
06/23/2008,63880,,-21,,736,,
06/24/2008,63649,,-231,,735,,
06/25/2008,63367,,-282,,736,,
06/26/2008,63019,,-348,,730,,
06/27/2008,62613,,-406,,727,,
06/28/2008,62334,,-279,,644,,
06/29/2008,62034,,-300,,623,,
06/30/2008,61834,,-200,,539,,
07/01/2008,61668,,-166,,493,,
07/02/2008,61669,,1,,315,,
07/03/2008,61792,,123,,263,,
07/04/2008,61900,,108,,272,,
07/05/2008,61959,,59,,266,,
07/06/2008,61992,,33,,263,,
07/07/2008,61975,,-17,,276,,
07/08/2008,62025,,50,,236,,
07/09/2008,62021,,-4,,242,,
07/10/2008,61963,,-58,,255,,
07/11/2008,61851,,-112,,271,,
07/12/2008,61730,,-121,,281,,
07/13/2008,61584,,-146,,293,,
07/14/2008,61426,,-158,,308,,
07/15/2008,61302,,-124,,325,,
07/16/2008,61318,,16,,182,,
07/17/2008,61011,,-307,,304,,
07/18/2008,60730,,-281,,304,,
07/19/2008,60403,,-327,,324,,
07/20/2008,60254,,-149,,222,,
07/21/2008,60035,,-219,,263,,
07/22/2008,59616,,-419,,362,,
07/23/2008,59238,,-378,,315,,
07/24/2008,58809,,-429,,350,,
07/25/2008,58438,,-371,,341,,
07/26/2008,58104,,-334,,315,,
07/27/2008,57917,,-187,,238,,
07/28/2008,57532,,-385,,316,,
07/29/2008,57216,,-316,,308,,
07/30/2008,56841,,-375,,319,,
07/31/2008,56470,,-371,,319,,
08/01/2008,56072,,-398,,334,,
08/02/2008,55651,,-421,,304,,
08/03/2008,55299,,-352,,286,,
08/04/2008,54872,,-427,,321,,
08/05/2008,54444,,-428,,322,,
08/06/2008,54009,,-435,,323,,
08/07/2008,53504,,-505,,320,,
08/08/2008,53119,,-385,,288,,
08/09/2008,53009,,-110,,238,,
08/10/2008,53013,,4,,85,,
08/11/2008,52545,,-468,,322,,
08/12/2008,52084,,-461,,315,,
08/13/2008,51390,,-694,,423,,
08/14/2008,50689,,-701,,423,,
08/15/2008,50076,,-613,,378,,
08/16/2008,49407,,-669,,386,,
08/17/2008,48990,,-417,,287,,
08/18/2008,48471,,-519,,333,,
08/19/2008,47938,,-533,,336,,
08/20/2008,47414,,-524,,343,,
08/21/2008,46832,,-582,,358,,
08/22/2008,46150,,-682,,405,,
08/23/2008,45340,,-810,,466,,
08/24/2008,44773,,-567,,347,,
08/25/2008,44149,,-624,,371,,
08/26/2008,43470,,-679,,406,,
08/27/2008,42745,,-725,,422,,
08/28/2008,41959,,-786,,442,,
08/29/2008,41265,,-694,,401,,
08/30/2008,40527,,-738,,444,,
08/31/2008,40120,,-407,,247,,
09/01/2008,39753,,-367,,234,,
09/02/2008,39350,,-403,,258,,
09/03/2008,38925,,-425,,266,,
09/04/2008,38483,,-442,,263,,
09/05/2008,38153,,-330,,227,,
09/06/2008,37847,,-306,,212,,
09/07/2008,37706,,-141,,125,,
09/08/2008,37289,,-417,,272,,
09/09/2008,37018,,-271,,192,,
09/10/2008,36759,,-259,,184,,
09/11/2008,36316,,-443,,177,,
09/12/2008,36380,,64,,119,,
09/13/2008,36331,,-49,,79,,
09/14/2008,36268,,-63,,85,,
09/15/2008,35877,,-391,,254,,
09/16/2008,35449,,-428,,264,,
09/17/2008,35109,,-340,,194,,
09/18/2008,34708,,-401,,245,,
09/19/2008,34304,,-404,,233,,
09/20/2008,34117,,-187,,147,,
09/21/2008,33880,,-237,,176,,
09/22/2008,33461,,-419,,274,,
09/23/2008,33229,,-232,,141,,
09/24/2008,33105,,-124,,139,,
09/25/2008,40634,,7529,,318,,
09/26/2008,32496,,-8138,,279,,
09/27/2008,32055,,-441,,278,,
09/28/2008,31606,,-449,,263,,
09/29/2008,31175,,-431,,275,,
09/30/2008,30696,,-479,,297,,
10/01/2008,30429,,-267,,177,,
10/02/2008,29979,,-450,,285,,
10/03/2008,29770,,-209,,151,,
10/04/2008,29737,,-33,,142,,
10/05/2008,29615,,-122,,142,,
10/06/2008,29628,,13,,41,,
10/07/2008,29665,,37,,41,,
10/08/2008,29698,,33,,41,,
10/09/2008,29731,,33,,41,,
10/10/2008,29754,,23,,40,,
10/11/2008,29790,,36,,41,,
10/12/2008,29816,,26,,40,,
10/13/2008,29844,,28,,40,,
10/14/2008,29880,,36,,40,,
10/15/2008,29910,,30,,40,,
10/16/2008,29943,,33,,40,,
10/17/2008,29833,,-110,,118,,
10/18/2008,29509,,-324,,217,,
10/19/2008,29292,,-217,,166,,
10/20/2008,29072,,-220,,165,,
10/21/2008,28717,,-355,,223,,
10/22/2008,28426,,-291,,180,,
10/23/2008,28120,,-306,,206,,
10/24/2008,27791,,--,,223,,
10/25/2008,27489,,-302,,207,,
10/26/2008,27207,,-282,,195,,
10/27/2008,26938,,-269,,190,,
10/28/2008,26622,,-316,,212,,
10/29/2008,26297,,-325,,216,,
10/30/2008,25929,,-368,,247,,
10/31/2008,25779,,-150,,166,,
11/01/2008,25910,,131,,196,,
11/02/2008,26407,,497,,292,,
11/03/2008,26262,,-145,,299,,
11/04/2008,25974,,-288,,327,,
11/05/2008,25840,,-134,,210,,
11/06/2008,25604,,-236,,245,,
11/07/2008,25441,,-163,,229,,
11/08/2008,25352,,-89,,195,,
11/09/2008,25479,,127,,95,,
11/10/2008,25422,,-57,,170,,
11/11/2008,25333,,-89,,187,,
11/12/2008,25215,,-118,,173,,
11/13/2008,25279,,64,,148,,
11/14/2008,25212,,-67,,217,,
11/15/2008,25336,,124,,138,,
11/16/2008,25419,,83,,154,,
11/17/2008,25652,,233,,40,,
11/18/2008,25900,,248,,40,,
11/19/2008,26137,,237,,40,,
11/20/2008,26359,,222,,40,,
11/21/2008,26558,,199,,40,,
11/22/2008,26519,,-39,,169,,
11/23/2008,26252,,-267,,282,,
11/24/2008,26041,,-211,,232,,
11/25/2008,25706,,-335,,295,,
11/26/2008,25527,,-179,,224,,
11/27/2008,25397,,-130,,197,,
11/28/2008,25263,,-134,,196,,
11/29/2008,25127,,-136,,184,,
11/30/2008,24905,,-222,,254,,
12/01/2008,24582,,-323,,281,,
12/02/2008,24261,,-321,,298,,
12/03/2008,23849,,-412,,326,,
12/04/2008,23422,,-427,,327,,
12/05/2008,23074,,-348,,--,,
12/06/2008,22797,,-277,,249,,
12/07/2008,22583,,-214,,228,,
12/08/2008,22278,,-305,,258,,
12/09/2008,22077,,-201,,206,,
12/10/2008,21870,,-207,,216,,
12/11/2008,21637,,-233,,230,,
12/12/2008,21459,,-178,,177,,
12/13/2008,21517,,58,,95,,
12/14/2008,21401,,-116,,191,,
12/15/2008,21051,,-350,,290,,
12/16/2008,20620,,-431,,327,,
12/17/2008,20331,,-289,,254,,
12/18/2008,19984,,-347,,275,,
12/19/2008,19797,,-187,,222,,
12/20/2008,19697,,-100,,154,,
12/21/2008,19673,,-24,,133,,
12/22/2008,19543,,-130,,192,,
12/23/2008,19370,,-173,,209,,
12/24/2008,19200,,-170,,201,,
12/25/2008,19255,,55,,112,,
12/26/2008,19191,,-64,,123,,
12/27/2008,19191,,0,,132,,
12/28/2008,19152,,-39,,144,,
12/29/2008,19059,,-93,,161,,
12/30/2008,18971,,-88,,171,,
12/31/2008,18985,,14,,105,,
01/01/2009,19088,,103,,41,,
01/02/2009,19317,,229,,41,,
01/03/2009,19494,,177,,59,,
01/04/2009,19540,,46,,111,,
01/05/2009,19494,,-46,,148,,
01/06/2009,19429,,-65,,168,,
01/07/2009,19567,,138,,45,,
01/08/2009,19670,,103,,98,,
01/09/2009,19854,,184,,42,,
01/10/2009,20034,,180,,42,,
01/11/2009,20223,,189,,42,,
01/12/2009,20411,,188,,188,,
01/13/2009,20521,,110,,133,,
01/14/2009,20538,,17,,165,,
01/15/2009,20244,,-294,,299,,
01/16/2009,20158,,-86,,178,,
01/17/2009,19904,,-254,,130,,
01/18/2009,20117,,213,,189,,
01/19/2009,19765,,-352,,325,,
01/20/2009,19608,,-157,,226,,
01/21/2009,19591,,-17,,153,,
01/22/2009,19966,,375,,72,,
01/23/2009,20644,,678,,280,,
01/24/2009,21705,,1061,,43,,
01/25/2009,22018,,313,,240,,
01/26/2009,21855,,-163,,393,,
01/27/2009,21560,,-295,,364,,
01/28/2009,21356,,-204,,329,,
01/29/2009,21169,,-187,,292,,
01/30/2009,21009,,-160,,284,,
01/31/2009,20939,,-70,,--,,
02/01/2009,21182,,243,,70,,
02/02/2009,20966,,-216,,351,,
02/03/2009,20554,,-412,,442,,
02/04/2009,20283,,-271,,366,,
02/05/2009,19966,,-317,,382,,
02/06/2009,19435,,-531,,486,,
02/07/2009,19317,,-118,,259,,
02/08/2009,19270,,-47,,182,,
02/09/2009,18994,,-276,,389,,
02/10/2009,18308,,-686,,510,,
02/11/2009,18337,,29,,172,,
02/12/2009,18210,,-127,,251,,
02/13/2009,17752,,-458,,432,,
02/14/2009,17456,,-296,,267,,
02/15/2009,17568,,112,,136,,
02/16/2009,17186,,-382,,393,,
02/17/2009,16891,,-295,,351,,
02/18/2009,16517,,-374,,323,,
02/19/2009,16059,,-458,,386,,
02/20/2009,15616,,-443,,405,,
02/21/2009,15219,,-397,,348,,
02/22/2009,15366,,147,,145,,
02/23/2009,15628,,262,,321,,
02/24/2009,15768,,140,,368,,
02/25/2009,15782,,14,,337,,
02/26/2009,15723,,-59,,315,,
02/27/2009,15578,,-145,,371,,
02/28/2009,15061,,-517,,506,,
03/01/2009,14939,,-122,,323,,
03/02/2009,15723,,784,,392,,
03/03/2009,16298,,575,,533,,
03/04/2009,16087,,-211,,596,,
03/05/2009,15628,,-459,,595,,
03/06/2009,14987,,-641,,634,,
03/07/2009,14495,,-492,,554,,
03/08/2009,14227,,-268,,444,,
03/09/2009,13640,,-587,,586,,
03/10/2009,13369,,-271,,370,,
03/11/2009,12896,,-473,,520,,
03/12/2009,12634,,-262,,398,,
03/13/2009,12527,,-107,,309,,
03/14/2009,12358,,-169,,410,,
03/15/2009,12191,,-167,,358,,
03/16/2009,11978,,-213,,431,,
03/17/2009,12095,,117,,347,,
03/18/2009,11815,,-280,,592,,
03/19/2009,11842,,27,,519,,
03/20/2009,11789,,-53,,635,,
03/21/2009,11859,,70,,598,,
03/22/2009,11829,,-30,,572,,
03/23/2009,11463,,-366,,604,,
03/24/2009,11408,,-55,,464,,
03/25/2009,11181,,-227,,513,,
03/26/2009,10988,,-193,,543,,
03/27/2009,10841,,-147,,562,,
03/28/2009,10948,,107,,508,,
03/29/2009,11268,,320,,593,,
03/30/2009,11502,,234,,524,,
03/31/2009,12090,,588,,370,,
04/01/2009,12847,,757,,372,,
04/02/2009,13646,,799,,433,,
04/03/2009,14041,,395,,584,,
04/04/2009,14895,,854,,175,,
04/05/2009,14976,,81,,609,,
04/06/2009,14967,,-9,,694,,
04/07/2009,15153,,186,,684,,
04/08/2009,15303,,150,,660,,
04/09/2009,15289,,-14,,636,,
04/10/2009,15147,,-142,,631,,
04/11/2009,15211,,64,,444,,
04/12/2009,14934,,-277,,664,,
04/13/2009,14962,,28,,625,,
04/14/2009,14978,,16,,754,,
04/15/2009,14705,,-273,,724,,
04/16/2009,14424,,-281,,660,,
04/17/2009,14101,,-323,,756,,
04/18/2009,14101,,0,,774,,
04/19/2009,14945,,844,,460,,
04/20/2009,16260,,1315,,714,,
04/21/2009,18040,,1780,,717,,
04/22/2009,20034,,1994,,693,,
04/23/2009,22385,,2351,,563,,
04/24/2009,24022,,1637,,699,,
04/25/2009,24829,,807,,659,,
04/26/2009,25495,,666,,626,,
04/27/2009,26172,,677,,619,,
04/28/2009,26981,,809,,585,,
04/29/2009,27524,,543,,674,,
04/30/2009,28065,,541,,670,,
05/01/2009,29698,,1633,,637,,
05/02/2009,33824,,4126,,449,,
05/03/2009,37505,,3681,,600,,
05/04/2009,39904,,2399,,635,,
05/05/2009,42171,,2267,,635,,
05/06/2009,44532,,2361,,666,,
05/07/2009,47203,,2671,,566,,
05/08/2009,49545,,2342,,644,,
05/09/2009,52053,,2508,,618,,
05/10/2009,55016,,2963,,624,,
05/11/2009,58251,,3235,,638,,
05/12/2009,59714,,1463,,1604,,
05/13/2009,59262,,-452,,2259,,
05/14/2009,59091,,-171,,2122,,
05/15/2009,59262,,171,,2141,,
05/16/2009,59500,,238,,2342,,
05/17/2009,59718,,218,,2638,,
05/18/2009,59665,,-53,,2836,,
05/19/2009,59723,,58,,2761,,
05/20/2009,59571,,-152,,2757,,
05/21/2009,59295,,-276,,2405,,
05/22/2009,59250,,-45,,2228,,
05/23/2009,59521,,271,,2231,,
05/24/2009,59476,,-45,,2162,,
05/25/2009,59038,,-438,,2082,,
05/26/2009,59230,,192,,1723,,
05/27/2009,59616,,386,,1551,,
05/28/2009,60056,,440,,584,,
05/29/2009,60419,,363,,1419,,
05/30/2009,60730,,311,,1422,,
05/31/2009,61061,,331,,1421,,
06/01/2009,61327,,266,,1457,,
06/02/2009,61422,,95,,1361,,
06/03/2009,61892,,470,,1050,,
06/04/2009,62367,,475,,854,,
06/05/2009,62961,,594,,755,,
06/06/2009,63040,,79,,875,,
06/07/2009,63250,,210,,747,,
06/08/2009,63682,,432,,680,,
06/09/2009,63817,,135,,941,,
06/10/2009,63687,,-130,,965,,
06/11/2009,63467,,-220,,972,,
06/12/2009,63229,,-238,,873,,
06/13/2009,63212,,-17,,856,,
06/14/2009,63296,,84,,774,,
06/15/2009,63468,,172,,717,,
06/16/2009,63624,,156,,849,,
06/17/2009,63716,,92,,945,,
