Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
12/14/2003,465.12,,1125949,,3120,,
12/15/2003,465.84,,1133450,,7501,,
12/16/2003,467.25,,1148185,,--,,
12/17/2003,468.69,,1163297,,15112,,
12/18/2003,469.65,,1173407,,10110,,
12/19/2003,471.11,,1178261,,4854,,
12/20/2003,470.74,,1184920,,6659,,
12/21/2003,471.55,,1193498,,8578,,
12/22/2003,472.33,,1201778,,8280,,
12/23/2003,473.22,,1211248,,9470,,
12/24/2003,474.22,,1221916,,10668,,
12/25/2003,475.94,,1240334,,18418,,
12/26/2003,476.95,,1251223,,10889,,
12/27/2003,478.62,,1269262,,18039,,
12/28/2003,480.21,,1286516,,17254,,
12/29/2003,481.27,,1298061,,11545,,
12/30/2003,482.40,,1310407,,12346,,
12/31/2003,482.96,,1316540,,6133,,
01/01/2004,484.09,,1328944,,12404,,
01/02/2004,484.91,,1337970,,9026,,
01/03/2004,485.99,,1349888,,11918,,
01/04/2004,487.50,,1366611,,16723,,
01/05/2004,488.23,,1374720,,8109,,
01/06/2004,489.44,,1388197,,13477,,
01/07/2004,490.74,,1402726,,14529,,
01/08/2004,492.08,,1417755,,15029,,
01/09/2004,493.03,,1428442,,10687,,
01/10/2004,494.33,,1443111,,14669,,
01/11/2004,495.63,,1457831,,14720,,
01/12/2004,496.53,,1468051,,10220,,
01/13/2004,497.72,,1481601,,13550,,
01/14/2004,498.47,,1490163,,8562,,
01/15/2004,499.30,,1499658,,9495,,
01/16/2004,500.38,,1512043,,12385,,
01/17/2004,501.47,,1524577,,12534,,
01/18/2004,502.58,,1537378,,12801,,
01/19/2004,503.14,,1543850,,6472,,
01/20/2004,503.98,,1553575,,9725,,
01/21/2004,504.87,,1563902,,10327,,
01/22/2004,506.01,,1577164,,13262,,
01/23/2004,506.68,,1584976,,7812,,
01/24/2004,507.37,,1593035,,8059,,
01/25/2004,508.35,,1604505,,11470,,
01/26/2004,509.08,,1613068,,8563,,
01/27/2004,510.02,,1624116,,11048,,
01/28/2004,510.96,,1635191,,11075,,
01/29/2004,511.96,,1647000,,11809,,
01/30/2004,512.67,,1655403,,8403,,
01/31/2004,513.43,,1664413,,9010,,
02/01/2004,514.00,,1671182,,6769,,
02/02/2004,514.20,,1673559,,2377,,
02/03/2004,514.69,,1679389,,5830,,
02/04/2004,515.06,,1683795,,4406,,
02/05/2004,515.67,,1691068,,7273,,
02/06/2004,516.01,,1695127,,4059,,
02/07/2004,516.62,,1702417,,--,,
02/08/2004,517.30,,1710556,,8139,,
02/09/2004,517.61,,1714271,,3715,,
02/10/2004,517.90,,1717748,,3477,,
02/11/2004,518.47,,1724591,,6843,,
02/12/2004,518.49,,1724831,,240,,
02/13/2004,518.74,,1727836,,3005,,
02/14/2004,519.03,,1731323,,3487,,
02/15/2004,519.65,,1738786,,7463,,
02/16/2004,519.97,,1742643,,3857,,
02/17/2004,520.37,,1747468,,--,,
02/18/2004,520.70,,1751452,,3984,,
02/19/2004,521.20,,1757494,,6042,,
02/20/2004,521.98,,1766934,,9440,,
02/21/2004,522.58,,1774207,,7273,,
02/22/2004,523.69,,1787690,,13483,,
02/23/2004,524.17,,1793532,,5842,,
02/24/2004,525.45,,1809141,,15609,,
02/25/2004,526.87,,1826513,,17372,,
02/26/2004,527.85,,1838535,,12022,,
02/27/2004,528.75,,1849600,,11065,,
02/28/2004,529.80,,1862538,,12938,,
02/29/2004,531.09,,1878476,,15938,,
03/01/2004,532.18,,1891980,,13504,,
03/02/2004,533.02,,1902409,,10429,,
03/03/2004,533.50,,1908378,,5969,,
03/04/2004,534.44,,1920085,,11707,,
03/05/2004,535.30,,1930818,,10733,,
03/06/2004,536.43,,1944952,,14134,,
03/07/2004,537.40,,1957113,,12161,,
03/08/2004,537.84,,1962638,,5525,,
03/09/2004,538.83,,1975089,,12451,,
03/10/2004,539.47,,1983153,,8064,,
03/11/2004,539.88,,1988325,,5172,,
03/12/2004,539.83,,1987694,,-631,,
03/13/2004,540.22,,1992618,,4924,,
03/14/2004,540.76,,1999442,,6824,,
03/15/2004,540.95,,2001845,,2403,,
03/16/2004,541.55,,2009440,,7595,,
03/17/2004,541.87,,2013494,,4054,,
03/18/2004,541.62,,2010326,,-3168,,
03/19/2004,541.44,,2008047,,-2279,,
03/20/2004,541.08,,2003489,,-4558,,
03/21/2004,541.03,,2002857,,-632,,
03/22/2004,540.94,,2001718,,-1139,,
03/23/2004,540.90,,2001212,,-506,,
03/24/2004,540.86,,2000706,,-506,,
03/25/2004,540.58,,1997166,,-3540,,
03/26/2004,540.59,,1997293,,127,,
03/27/2004,541.00,,2002477,,5184,,
03/28/2004,541.46,,2008300,,5823,,
03/29/2004,541.74,,2011847,,3547,,
03/30/2004,542.10,,2016411,,4564,,
03/31/2004,542.39,,2020089,,3678,,
04/01/2004,542.45,,2020851,,762,,
04/02/2004,542.53,,2021866,,--,,
04/03/2004,542.62,,2023009,,1143,,
04/04/2004,542.68,,2023771,,762,,
04/05/2004,542.73,,2024406,,635,,
04/06/2004,542.56,,2022247,,-2159,,
04/07/2004,542.03,,2015523,,-6724,,
04/08/2004,541.81,,2012734,,-2789,,
04/09/2004,541.04,,2002983,,-9751,,
04/10/2004,540.43,,1995271,,-7712,,
04/11/2004,540.48,,1995902,,631,,
04/12/2004,540.58,,1997166,,1264,,
04/13/2004,540.62,,1997672,,506,,
04/14/2004,540.01,,1989966,,-7706,,
04/15/2004,539.10,,1978490,,-11476,,
04/16/2004,537.63,,1960001,,-18489,,
04/17/2004,536.38,,1944326,,-15675,,
04/18/2004,535.56,,1934067,,-10259,,
04/19/2004,534.39,,1919462,,-14605,,
04/20/2004,533.15,,1904025,,-15437,,
04/21/2004,532.28,,1893220,,--,,
04/22/2004,531.38,,1882066,,-11154,,
04/23/2004,530.55,,1871799,,-10267,,
04/24/2004,529.27,,1856004,,-15795,,
04/25/2004,528.41,,1845417,,-10587,,
04/26/2004,527.34,,1832275,,-13142,,
04/27/2004,526.19,,1818187,,-14088,,
04/28/2004,524.95,,1803038,,-15149,,
04/29/2004,523.60,,1786596,,-16442,,
04/30/2004,522.08,,1768145,,-18451,,
05/01/2004,520.58,,1750002,,-18143,,
05/02/2004,519.48,,1736739,,-13263,,
05/03/2004,518.08,,1719908,,-16831,,
05/04/2004,516.81,,1704689,,-15219,,
05/05/2004,515.37,,1687490,,-17199,,
05/06/2004,513.96,,1670707,,-16783,,
05/07/2004,--,,--,,--,,
05/08/2004,--,,--,,--,,
05/09/2004,509.90,,1622705,,--,,
05/10/2004,508.28,,1603685,,-19020,,
05/11/2004,507.02,,1588946,,-14739,,
05/12/2004,505.60,,1572390,,-16556,,
05/13/2004,503.88,,1552417,,-19973,,
05/14/2004,502.37,,1534954,,--,,
05/15/2004,500.66,,1515259,,-19695,,
05/16/2004,499.15,,1497940,,-17319,,
05/17/2004,497.57,,1479891,,-18049,,
05/18/2004,496.09,,1463051,,-16840,,
05/19/2004,494.50,,1445033,,-18018,,
05/20/2004,492.98,,1427879,,-17154,,
05/21/2004,491.08,,1406534,,-21345,,
05/22/2004,489.25,,1386078,,-20456,,
05/23/2004,487.87,,1370719,,-15359,,
05/24/2004,486.16,,1351767,,-18952,,
05/25/2004,484.49,,1333344,,-18423,,
05/26/2004,482.68,,1313473,,-19871,,
05/27/2004,480.66,,1291413,,-22060,,
05/28/2004,478.51,,1268071,,-23342,,
05/29/2004,476.53,,1246700,,-21371,,
05/30/2004,475.01,,1230365,,-16335,,
05/31/2004,473.44,,1213592,,-16773,,
06/01/2004,471.86,,1196787,,-16805,,
06/02/2004,470.39,,1181219,,-15568,,
06/03/2004,468.78,,1164243,,-16976,,
06/04/2004,466.53,,1140653,,-23590,,
06/05/2004,464.54,,1119919,,-20734,,
06/06/2004,462.55,,1099309,,-20610,,
06/07/2004,460.69,,1080158,,-19151,,
06/08/2004,458.78,,1060608,,-19550,,
06/09/2004,456.98,,1042291,,-18317,,
06/10/2004,455.61,,1028420,,-13871,,
06/11/2004,454.42,,1016422,,-11998,,
06/12/2004,453.22,,1004371,,-12051,,
06/13/2004,452.08,,992966,,-11405,,
06/14/2004,450.65,,978721,,-14245,,
06/15/2004,449.17,,964051,,-14670,,
06/16/2004,447.59,,948471,,-15580,,
06/17/2004,446.22,,935032,,-13439,,
06/18/2004,444.38,,917083,,-17949,,
06/19/2004,442.45,,898382,,-18701,,
06/20/2004,440.83,,882785,,-15597,,
06/21/2004,439.12,,866423,,-16362,,
06/22/2004,437.69,,852820,,-13603,,
06/23/2004,436.02,,837026,,-15794,,
06/24/2004,434.21,,820022,,-17004,,
06/25/2004,432.03,,799700,,-20322,,
06/26/2004,430.38,,784435,,-15265,,
06/27/2004,428.70,,768996,,-15439,,
06/28/2004,426.92,,752754,,-16242,,
06/29/2004,425.42,,739160,,-13594,,
06/30/2004,423.28,,719890,,-19270,,
07/01/2004,421.43,,703386,,-16504,,
07/02/2004,419.78,,688787,,-14599,,
07/03/2004,418.23,,675177,,-13610,,
07/04/2004,416.80,,662712,,-12465,,
07/05/2004,415.58,,652146,,-10566,,
07/06/2004,414.52,,643017,,-9129,,
07/07/2004,413.24,,632059,,-10958,,
07/08/2004,411.97,,621255,,-10804,,
07/09/2004,411.08,,613726,,-7529,,
07/10/2004,409.83,,603209,,-10517,,
07/11/2004,410.05,,605055,,1846,,
07/12/2004,409.05,,596681,,-8374,,
07/13/2004,408.08,,588601,,-8080,,
07/14/2004,407.57,,584368,,-4233,,
07/15/2004,406.92,,578991,,-5377,,
07/16/2004,406.21,,573139,,-5852,,
07/17/2004,405.48,,567145,,-5994,,
07/18/2004,405.06,,563707,,-3438,,
07/19/2004,403.98,,554902,,-8805,,
07/20/2004,402.89,,546068,,-8834,,
07/21/2004,402.46,,542598,,--,,
07/22/2004,401.83,,537529,,-5069,,
07/23/2004,400.86,,529758,,-7771,,
07/24/2004,400.41,,526168,,-3590,,
07/25/2004,400.33,,525531,,-637,,
07/26/2004,399.58,,519569,,-5962,,
07/27/2004,399.25,,516954,,-2615,,
07/28/2004,399.13,,516005,,-949,,
07/29/2004,398.50,,511030,,-4975,,
07/30/2004,397.33,,501838,,-9192,,
07/31/2004,396.18,,492864,,-8974,,
08/01/2004,395.02,,483873,,-8991,,
08/02/2004,394.80,,482175,,-1698,,
08/03/2004,394.91,,483024,,849,,
08/04/2004,394.80,,482175,,-849,,
08/05/2004,394.30,,478323,,-3852,,
08/06/2004,394.19,,477478,,-845,,
08/07/2004,393.62,,473104,,-4374,,
08/08/2004,393.53,,472415,,-689,,
08/09/2004,392.96,,468058,,-4357,,
08/10/2004,392.17,,462045,,-6013,,
08/11/2004,391.83,,459466,,-2579,,
08/12/2004,391.23,,454927,,-4539,,
08/13/2004,390.63,,450406,,-4521,,
08/14/2004,390.51,,449503,,-903,,
08/15/2004,390.41,,448752,,-751,,
08/16/2004,389.84,,444478,,-4274,,
08/17/2004,389.54,,442234,,-2244,,
08/18/2004,389.48,,441786,,-448,,
08/19/2004,389.40,,441189,,-597,,
08/20/2004,389.55,,442309,,1120,,
08/21/2004,389.47,,441711,,-598,,
08/22/2004,390.17,,446950,,5239,,
08/23/2004,390.37,,448452,,1502,,
08/24/2004,390.92,,452589,,4137,,
08/25/2004,391.45,,456590,,4001,,
08/26/2004,392.40,,463793,,7203,,
08/27/2004,393.32,,470808,,7015,,
08/28/2004,394.00,,476018,,5210,,
08/29/2004,395.61,,488438,,12420,,
08/30/2004,396.15,,492631,,4193,,
08/31/2004,396.89,,498397,,5766,,
09/01/2004,397.92,,506465,,8068,,
09/02/2004,398.83,,513633,,7168,,
09/03/2004,399.52,,519094,,5461,,
09/04/2004,400.51,,526965,,7871,,
09/05/2004,401.37,,533839,,6874,,
09/06/2004,401.89,,538011,,4172,,
09/07/2004,402.37,,541873,,3862,,
09/08/2004,402.90,,546149,,4276,,
09/09/2004,403.28,,549223,,3074,,
09/10/2004,403.73,,552871,,3648,,
09/11/2004,404.27,,557261,,4390,,
09/12/2004,405.26,,565343,,8082,,
09/13/2004,405.33,,565916,,573,,
09/14/2004,405.81,,569851,,3935,,
09/15/2004,406.62,,576516,,6665,,
09/16/2004,407.37,,582712,,6196,,
09/17/2004,408.10,,588767,,6055,,
09/18/2004,408.62,,593094,,4327,,
09/19/2004,409.97,,604384,,11290,,
09/20/2004,410.12,,605643,,1259,,
09/21/2004,410.62,,609848,,4205,,
09/22/2004,411.28,,615415,,5567,,
09/23/2004,411.96,,621170,,5755,,
09/24/2004,412.83,,628563,,7393,,
09/25/2004,413.66,,635647,,7084,,
09/26/2004,414.81,,645510,,9863,,
09/27/2004,415.38,,650420,,4910,,
09/28/2004,416.36,,658894,,8474,,
09/29/2004,417.03,,664711,,5817,,
09/30/2004,417.68,,670373,,5662,,
10/01/2004,417.71,,670634,,261,,
10/02/2004,416.94,,663929,,-6705,,
10/03/2004,417.47,,668542,,4613,,
10/04/2004,417.61,,669762,,1220,,
10/05/2004,417.58,,669501,,-261,,
10/06/2004,417.09,,665233,,-4268,,
10/07/2004,417.13,,665581,,348,,
10/08/2004,416.50,,660108,,-5473,,
10/09/2004,416.73,,662104,,1996,,
10/10/2004,416.45,,659674,,-2430,,
10/11/2004,415.90,,654911,,-4763,,
10/12/2004,415.96,,655430,,519,,
10/13/2004,415.97,,655517,,87,,
10/14/2004,415.94,,655257,,-260,,
10/15/2004,415.51,,651542,,-3715,,
10/16/2004,414.87,,646026,,-5516,,
10/17/2004,415.96,,655430,,9404,,
10/18/2004,415.32,,649902,,-5528,,
10/19/2004,415.31,,649816,,-86,,
10/20/2004,416.69,,661757,,11941,,
10/21/2004,417.49,,668716,,6959,,
10/22/2004,418.39,,676578,,7862,,
10/23/2004,419.59,,687113,,10535,,
10/24/2004,421.38,,702942,,15829,,
10/25/2004,421.95,,708011,,5069,,
10/26/2004,422.68,,714522,,6511,,
10/27/2004,424.14,,727611,,13089,,
10/28/2004,425.88,,743327,,15716,,
10/29/2004,427.10,,754391,,11064,,
10/30/2004,427.50,,758033,,3642,,
