05/18/2015,ThecapacitywasrevisedinApril2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
01/14/2004,4821.33,,157109,,-894,,
01/15/2004,4821.12,,156693,,-416,,
01/16/2004,4820.85,,156160,,-533,,
01/17/2004,4820.51,,155489,,-671,,
01/18/2004,4820.35,,155175,,-314,,
01/19/2004,4819.99,,154470,,-705,,
01/20/2004,4819.72,,153961,,-509,,
01/21/2004,4819.82,,154136,,175,,
01/22/2004,4819.02,,152579,,-1557,,
01/23/2004,4818.56,,151689,,-890,,
01/24/2004,4818.13,,150860,,-829,,
01/25/2004,4817.84,,150302,,-558,,
01/26/2004,4817.30,,149269,,-1033,,
01/27/2004,4816.88,,148469,,-800,,
01/28/2004,4816.70,,148128,,-341,,
01/29/2004,4816.30,,147370,,-758,,
01/30/2004,4816.26,,147294,,-76,,
01/31/2004,4816.35,,147483,,189,,
02/01/2004,4816.54,,147824,,341,,
02/02/2004,4816.18,,147162,,-662,,
02/03/2004,4815.54,,145939,,-1223,,
02/04/2004,4815.14,,145208,,-731,,
02/05/2004,4814.81,,144574,,-634,,
02/06/2004,4814.47,,143960,,-614,,
02/07/2004,4814.47,,143960,,0,,
02/08/2004,4814.46,,143922,,-38,,
02/09/2004,4814.03,,143125,,-797,,
02/10/2004,4813.71,,142535,,-590,,
02/11/2004,4813.59,,142313,,-222,,
02/12/2004,4812.83,,140919,,-1394,,
02/13/2004,4812.60,,140517,,-402,,
02/14/2004,--,,140620,e,103,,
02/15/2004,4812.72,,140718,,98,,
02/16/2004,4813.47,,142093,,1375,,
02/17/2004,4814.35,,143737,,1644,,
02/18/2004,4815.04,,145003,,1266,,
02/19/2004,4815.63,,146107,,1104,,
02/20/2004,4815.95,,146710,,603,,
02/21/2004,4816.27,,147313,,603,,
02/22/2004,4816.38,,147521,,208,,
02/23/2004,4816.24,,147257,,-264,,
02/24/2004,4816.29,,147351,,94,,
02/25/2004,4816.63,,147995,,644,,
02/26/2004,4816.88,,148469,,474,,
02/27/2004,4816.72,,148166,,-303,,
02/28/2004,4816.43,,147635,,-531,,
02/29/2004,4816.49,,147730,,95,,
03/01/2004,4816.33,,147427,,-303,,
03/02/2004,4816.10,,147011,,-416,,
03/03/2004,4815.97,,146748,,-263,,
03/04/2004,4815.96,,146728,,-20,,
03/05/2004,4816.07,,146936,,208,,
03/06/2004,4816.37,,147503,,567,,
03/07/2004,4816.53,,147805,,302,,
03/08/2004,4816.68,,148109,,304,,
03/09/2004,4817.22,,149117,,1008,,
03/10/2004,4817.62,,149881,,764,,
03/11/2004,4817.97,,150553,,672,,
03/12/2004,4818.38,,151341,,788,,
03/13/2004,4818.72,,152017,,676,,
03/14/2004,4819.54,,153590,,1573,,
03/15/2004,4820.27,,155018,,1428,,
03/16/2004,4820.92,,156298,,1280,,
03/17/2004,4821.52,,157486,,1188,,
03/18/2004,4822.35,,159141,,1655,,
03/19/2004,4823.20,,160849,,1708,,
03/20/2004,4824.01,,162489,,1640,,
03/21/2004,4825.43,,165415,,2926,,
03/22/2004,4826.39,,167380,,1965,,
03/23/2004,4827.35,,169404,,2024,,
03/24/2004,4828.17,,171108,,1704,,
03/25/2004,4829.29,,173486,,2378,,
03/26/2004,4830.34,,175736,,2250,,
03/27/2004,4831.04,,177248,,1512,,
03/28/2004,4831.85,,179032,,1784,,
03/29/2004,4832.85,,181225,,2193,,
03/30/2004,4834.07,,183904,,2679,,
03/31/2004,4835.06,,186119,,2215,,
04/01/2004,4835.85,,187900,,1781,,
04/02/2004,4836.62,,189647,,1747,,
04/03/2004,4837.31,,191223,,1576,,
04/04/2004,4838.41,,193756,,2533,,
04/05/2004,4839.33,,195893,,2137,,
04/06/2004,4840.41,,198424,,2531,,
04/07/2004,4841.09,,200028,,1604,,
04/08/2004,4842.08,,202383,,2355,,
04/09/2004,4843.02,,204637,,2254,,
04/10/2004,4843.57,,205964,,1327,,
04/11/2004,4844.34,,207832,,1868,,
04/12/2004,4845.07,,209615,,1783,,
04/13/2004,4845.62,,210967,,1352,,
04/14/2004,4846.16,,212299,,1332,,
04/15/2004,4846.68,,213588,,1289,,
04/16/2004,4847.21,,214907,,1319,,
04/17/2004,4847.64,,215982,,1075,,
04/18/2004,4848.05,,217009,,1027,,
04/19/2004,4848.21,,217412,,403,,
04/20/2004,4848.64,,218496,,1084,,
04/21/2004,4849.25,,220040,,1544,,
04/22/2004,4849.83,,221516,,1476,,
04/23/2004,4850.39,,222973,,1457,,
04/24/2004,4850.75,,223871,,898,,
04/25/2004,4851.25,,225159,,1288,,
04/26/2004,4851.85,,226712,,1553,,
04/27/2004,4852.72,,228977,,2265,,
04/28/2004,4853.58,,231231,,2254,,
04/29/2004,4854.26,,233024,,1793,,
04/30/2004,--,,234856,,1832,,
05/01/2004,4855.71,,236884,,2028,,
05/02/2004,4856.50,,239007,,2123,,
05/03/2004,4857.52,,241767,,2760,,
05/04/2004,4858.37,,244085,,2318,,
05/05/2004,4859.07,,246005,,1920,,
05/06/2004,4859.70,,247744,,1739,,
05/07/2004,4860.27,,249324,,1580,,
05/08/2004,4860.83,,250883,,1559,,
05/09/2004,4861.18,,251889,,1006,,
05/10/2004,4861.68,,253264,,1375,,
05/11/2004,4862.02,,254221,,957,,
05/12/2004,4862.63,,255943,,1722,,
05/13/2004,4863.14,,257419,,1476,,
05/14/2004,4863.48,e,258359,,940,,
05/15/2004,4863.82,,259329,,970,,
05/16/2004,4864.14,,260246,,917,,
05/17/2004,4864.50,,261279,,1033,,
05/18/2004,4864.79,,262113,,834,,
05/19/2004,4865.06,,262892,,779,,
05/20/2004,4865.07,,262920,,28,,
05/21/2004,4865.16,,263181,,261,,
05/22/2004,4865.33,,263672,,491,,
05/23/2004,4865.47,,264106,,434,,
05/24/2004,4865.64,,264599,,493,,
05/25/2004,4865.83,,265122,,523,,
05/26/2004,4866.14,,266052,,930,,
05/27/2004,4866.53,,267160,,1108,,
05/28/2004,4867.07,,268740,,1580,,
05/29/2004,4867.43,,269828,,1088,,
05/30/2004,4867.89,,271183,,1355,,
05/31/2004,4868.17,,271981,,798,,
06/01/2004,4868.03,,271567,,-414,,
06/02/2004,4868.10,,271775,,208,,
06/03/2004,4868.26,,272247,,472,,
06/04/2004,4868.56,,273137,,890,,
06/05/2004,4868.39,,272633,,-504,,
06/06/2004,4868.07,,271685,,-948,,
06/07/2004,4868.22,,272159,,474,,
06/08/2004,4868.30,,272366,,207,,
06/09/2004,4868.29,,272337,,-29,,
06/10/2004,4868.16,,271952,,-385,,
06/11/2004,4868.06,,271656,,-296,,
06/12/2004,4867.80,,270888,,-768,,
06/13/2004,4867.67,,270505,,-383,,
06/14/2004,4867.63,,270387,,-118,,
06/15/2004,4867.43,,269799,,-588,,
06/16/2004,4867.14,,268975,,-824,,
06/17/2004,4866.96,,268418,,-557,,
06/18/2004,4866.26,,266372,,-2046,,
06/19/2004,4866.39,,266781,,409,,
06/20/2004,4866.43,,266869,,88,,
06/21/2004,4866.14,,266052,,-817,,
06/22/2004,4866.08,e,265760,,-292,,
06/23/2004,4866.02,,265674,,-86,,
06/24/2004,4865.84,,265150,,-524,,
06/25/2004,4865.66,,264628,,-522,,
06/26/2004,4865.21,,263325,,-1303,,
06/27/2004,4864.96,,262603,,-722,,
06/28/2004,4864.85,,262286,,-317,,
06/29/2004,4864.91,,262459,,173,,
06/30/2004,4864.72,,261912,,-547,,
07/01/2004,4864.43,,261106,,-806,,
07/02/2004,4864.27,,260618,,-488,,
07/03/2004,4863.97,,259759,,-859,,
07/04/2004,4863.82,,259329,,-430,,
07/05/2004,4863.37,,258046,,-1283,,
07/06/2004,4863.10,,257305,,-741,,
07/07/2004,4862.91,,256738,,-567,,
07/08/2004,4862.63,,255943,,-795,,
07/09/2004,4862.43,,255406,,-537,,
07/10/2004,4862.18,,254700,,-706,,
07/11/2004,4862.08,,254390,,-310,,
07/12/2004,4861.81,,253629,,-761,,
07/13/2004,4861.54,,252871,,-758,,
07/14/2004,4861.21,,251945,,-926,,
07/15/2004,4860.64,,250354,,-1591,,
07/16/2004,4860.26,,249295,,-1059,,
07/17/2004,4859.92,,248352,,-943,,
07/18/2004,4859.60,,247467,,-885,,
07/19/2004,4859.22,,246446,,-1021,,
07/20/2004,4858.50,,244441,,-2005,,
07/21/2004,4858.02,,243128,,-1313,,
07/22/2004,4857.79,,242501,,-627,,
07/23/2004,4857.60,,241985,,-516,,
07/24/2004,4857.43,,241549,,-436,,
07/25/2004,4856.95,,240222,,-1327,,
07/26/2004,4856.60,,239276,,-946,,
07/27/2004,4856.29,,238441,,-835,,
07/28/2004,4855.57,e,236500,e,-1941,,
07/29/2004,4855.35,e,235910,e,-590,,
07/30/2004,4855.12,e,235315,e,-595,,
07/31/2004,4854.89,,234723,,-592,,
08/01/2004,4854.79,,234431,,-292,,
08/02/2004,4854.27,,233052,,-1379,,
08/03/2004,4853.71,,231573,,-1479,,
08/04/2004,4853.24,,230338,,-1235,,
08/05/2004,4852.92,,229499,,-839,,
08/06/2004,4852.47,,228324,,-1175,,
08/07/2004,4852.04,,227205,,-1119,,
08/08/2004,4851.35,,225443,,-1762,,
08/09/2004,4850.89,,224257,,-1186,,
08/10/2004,4850.57,,223409,,-848,,
08/11/2004,4850.14,,222308,,-1101,,
08/12/2004,4849.80,,221439,,-869,,
