Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
02/13/2004,5928.36,,3390,,-8,,
02/14/2004,5928.37,,3398,,8,,
02/15/2004,5928.36,,3390,,-8,,
02/16/2004,5928.66,,3624,,234,,
02/17/2004,5928.86,,3780,,156,,
02/18/2004,5928.95,,3851,,71,,
02/19/2004,5928.94,,3843,,-8,,
02/20/2004,5928.92,,3827,,-16,,
02/21/2004,5928.89,,3804,,-23,,
02/22/2004,5928.87,,3788,,-16,,
02/23/2004,5928.84,,3764,,-24,,
02/24/2004,5928.81,,3741,,-23,,
02/25/2004,5929.02,,3906,,165,,
02/26/2004,5929.09,,3960,,54,,
02/27/2004,5929.03,,3913,,-47,,
02/28/2004,5928.98,,3874,,-39,,
02/29/2004,5928.92,,3827,,-47,,
03/01/2004,5928.91,,3819,,-8,,
03/02/2004,5928.86,,3780,,-39,,
03/03/2004,5928.81,,3741,,-39,,
03/04/2004,5928.76,,3702,,-39,,
03/05/2004,5928.75,,3694,,-8,,
03/06/2004,5928.73,,3678,,-16,,
03/07/2004,5928.74,,3686,,8,,
03/08/2004,5928.77,,3710,,24,,
03/09/2004,5928.83,,3757,,47,,
03/10/2004,5928.90,,3811,,54,,
03/11/2004,5928.95,,3851,,40,,
03/12/2004,5929.01,,3898,,47,,
03/13/2004,5929.06,,3937,,39,,
03/14/2004,5929.14,,4000,,63,,
03/15/2004,5929.23,,4071,,71,,
03/16/2004,5929.31,,4134,,63,,
03/17/2004,5929.38,,4189,,55,,
03/18/2004,5929.46,,4252,,63,,
03/19/2004,5929.57,,4339,,87,,
03/20/2004,5929.65,,4403,,64,,
03/21/2004,5929.77,,4498,,95,,
03/22/2004,5929.87,,4578,,80,,
03/23/2004,5929.95,,4641,,63,,
03/24/2004,5929.95,,4641,,0,,
03/25/2004,5929.99,,4673,,32,,
03/26/2004,5929.91,,4609,,-64,,
03/27/2004,5929.80,,4522,,-87,,
03/28/2004,5929.73,,4466,,-56,,
03/29/2004,5929.69,,4434,,-32,,
03/30/2004,5929.69,,4434,,0,,
03/31/2004,5929.70,,4443,,9,,
04/01/2004,5929.68,,4427,,-16,,
04/02/2004,5929.63,,4387,,-40,,
04/03/2004,5929.65,,4403,,16,,
04/04/2004,5929.73,,4466,,63,,
04/05/2004,5929.81,,4530,,64,,
04/06/2004,5929.84,,4554,,24,,
04/07/2004,5929.85,,4562,,8,,
04/08/2004,5929.90,,4601,,39,,
04/09/2004,5929.94,,4633,,32,,
04/10/2004,5929.96,,4649,,16,,
04/11/2004,5929.99,,4673,,24,,
04/12/2004,5930.02,,4719,,46,,
04/13/2004,5930.05,,4743,,24,,
04/14/2004,5930.00,,4704,,-39,,
04/15/2004,5930.01,,4711,,7,,
04/16/2004,5930.06,,4751,,40,,
04/17/2004,5930.15,,4823,,72,,
04/18/2004,5930.25,,4904,,81,,
04/19/2004,5930.35,,4984,,80,,
04/20/2004,5930.52,,5120,,136,,
04/21/2004,5930.68,,5249,,129,,
04/22/2004,5930.79,,5338,,89,,
04/23/2004,5930.91,,5435,,97,,
04/24/2004,5931.07,,5564,,129,,
04/25/2004,5931.27,,5727,,163,,
04/26/2004,5931.52,,5931,,204,,
04/27/2004,5931.84,,6192,,261,,
04/28/2004,5932.12,,6422,,230,,
04/29/2004,5932.33,,6595,,173,,
04/30/2004,5932.52,,6752,,157,,
05/01/2004,5932.76,,6950,,198,,
05/02/2004,5933.02,,7166,,216,,
05/03/2004,5933.32,,7416,,250,,
05/04/2004,5933.62,,7668,,252,,
05/05/2004,5933.90,,7902,,234,,
05/06/2004,5934.13,,8096,,194,,
05/07/2004,5934.33,,8265,,169,,
05/08/2004,5934.54,,8443,,178,,
05/09/2004,5934.70,,8579,,136,,
05/10/2004,5934.90,,8748,,169,,
05/11/2004,5935.04,,8868,,120,,
05/12/2004,5935.15,,8961,,93,,
05/13/2004,5935.28,,9072,,111,,
05/14/2004,5935.41,,9184,,112,,
05/15/2004,5935.54,,9295,,111,,
05/16/2004,5935.67,,9406,,112,,
05/17/2004,5935.74,,9467,,60,,
05/18/2004,5935.84,,9552,,85,,
05/19/2004,5935.89,,9596,,44,,
05/20/2004,5935.92,,9621,,25,,
05/21/2004,5935.90,,9604,,-17,,
05/22/2004,5935.86,,9570,,-34,,
05/23/2004,5935.81,,9527,,-43,,
05/24/2004,5935.80,,9518,,-9,,
05/25/2004,5935.81,,9527,,9,,
05/26/2004,5935.81,,9527,,0,,
05/27/2004,5935.84,,9552,,25,,
05/28/2004,5935.97,,9665,,113,,
05/29/2004,5935.94,,9639,,-26,,
05/30/2004,5935.87,,9579,,-60,,
05/31/2004,5935.81,,9527,,-52,,
06/01/2004,5935.77,,9492,,-35,,
06/02/2004,5935.78,,9501,,9,,
06/03/2004,5935.81,,9527,,26,,
06/04/2004,5935.83,,9544,,17,,
06/05/2004,5935.85,,9561,,17,,
06/06/2004,5935.86,,9570,,9,,
06/07/2004,5935.86,,9570,,0,,
06/08/2004,5935.87,,9579,,9,,
06/09/2004,5935.88,,9587,,8,,
06/10/2004,5935.89,,9596,,9,,
06/11/2004,5935.90,,9604,,8,,
06/12/2004,5935.91,,9613,,9,,
06/13/2004,5935.92,,9621,,8,,
06/14/2004,5935.91,,9613,,-8,,
06/15/2004,5935.90,,9604,,-9,,
06/16/2004,5935.89,,9596,,-8,,
06/17/2004,5935.87,,9579,,-17,,
06/18/2004,5935.86,,9570,,-9,,
06/19/2004,5935.85,,9561,,-9,,
06/20/2004,5935.85,,9561,,0,,
06/21/2004,5935.85,,9561,,0,,
06/22/2004,5935.85,,9561,,0,,
06/23/2004,5935.84,,9552,,-9,,
06/24/2004,5935.84,,9552,,0,,
06/25/2004,5935.83,,9544,,-8,,
06/26/2004,5935.82,,9535,,-9,,
06/27/2004,5935.81,,9527,,-8,,
06/28/2004,5935.80,,9518,,-9,,
06/29/2004,5935.80,,9518,,0,,
06/30/2004,5935.79,,9510,,-8,,
07/01/2004,5935.78,,9501,,-9,,
07/02/2004,5935.77,,9492,,-9,,
07/03/2004,5935.77,,9492,,0,,
07/04/2004,5935.76,,9484,,-8,,
07/05/2004,5935.75,,9475,,-9,,
07/06/2004,5935.73,,9458,,-17,,
07/07/2004,5935.71,,9441,,-17,,
07/08/2004,5935.70,,9432,,-9,,
07/09/2004,5935.68,,9415,,-17,,
07/10/2004,5935.66,,9398,,-17,,
07/11/2004,5935.64,,9381,,-17,,
07/12/2004,5935.62,,9364,,-17,,
07/13/2004,5935.60,,9347,,-17,,
07/14/2004,5935.58,,9329,,-18,,
07/15/2004,5935.56,,9312,,-17,,
07/16/2004,5935.54,,9295,,-17,,
07/17/2004,5935.52,,9278,,-17,,
07/18/2004,5935.50,,9261,,-17,,
07/19/2004,5935.48,,9244,,-17,,
07/20/2004,5935.47,,9235,,-9,,
07/21/2004,5935.45,,9218,,-17,,
07/22/2004,5935.44,,9209,,-9,,
07/23/2004,5935.42,,9192,,-17,,
07/24/2004,5935.40,,9175,,-17,,
07/25/2004,5935.38,,9158,,-17,,
07/26/2004,5935.35,,9132,,-26,,
07/27/2004,5935.33,,9115,,-17,,
07/28/2004,5935.31,,9098,,-17,,
07/29/2004,5935.27,,9064,,-34,,
07/30/2004,5935.25,,9047,,-17,,
07/31/2004,5935.22,,9021,,-26,,
08/01/2004,5935.19,,8996,,-25,,
08/02/2004,5935.16,,8970,,-26,,
08/03/2004,5935.14,,8953,,-17,,
08/04/2004,5935.11,,8927,,-26,,
08/05/2004,5935.08,,8902,,-25,,
08/06/2004,5935.05,,8876,,-26,,
08/07/2004,5935.03,,8859,,-17,,
08/08/2004,5935.01,,8842,,-17,,
08/09/2004,5934.99,,8825,,-17,,
08/10/2004,5934.97,,8808,,-17,,
08/11/2004,5934.94,,8782,,-26,,
08/12/2004,5934.92,,8765,,-17,,
08/13/2004,5934.90,,8748,,-17,,
08/14/2004,5934.88,,8731,,-17,,
08/15/2004,5934.87,,8723,,-8,,
08/16/2004,5934.84,,8697,,-26,,
08/17/2004,5934.82,,8680,,-17,,
08/18/2004,5934.80,,8663,,-17,,
08/19/2004,5934.78,,8646,,-17,,
08/20/2004,5934.76,,8629,,-17,,
08/21/2004,5934.73,,8604,,-25,,
08/22/2004,5934.70,,8579,,-25,,
08/23/2004,5934.67,,8553,,-26,,
08/24/2004,5934.65,,8536,,-17,,
08/25/2004,5934.61,,8502,,-34,,
08/26/2004,5934.50,,8409,,-93,,
08/27/2004,5934.47,,8384,,-25,,
08/28/2004,5934.46,,8375,,-9,,
08/29/2004,5934.44,,8358,,-17,,
08/30/2004,5934.42,,8341,,-17,,
08/31/2004,5934.40,,8324,,-17,,
09/01/2004,5934.35,,8282,,-42,,
09/02/2004,5934.29,,8231,,-51,,
09/03/2004,5934.17,,8130,,-101,,
09/04/2004,5934.04,,8020,,-110,,
09/05/2004,5933.92,,7919,,-101,,
09/06/2004,5933.80,,7818,,-101,,
09/07/2004,5933.62,,7668,,-150,,
09/08/2004,5933.32,,7416,,-252,,
09/09/2004,5932.97,,7125,,-291,,
09/10/2004,5932.62,,6835,,-290,,
09/11/2004,5932.28,,6554,,-281,,
09/12/2004,5931.94,,6274,,-280,,
09/13/2004,5931.65,,6037,,-237,,
09/14/2004,5931.42,,5849,,-188,,
09/15/2004,5931.21,,5678,,-171,,
09/16/2004,5930.92,,5443,,-235,,
09/17/2004,5930.57,,5160,,-283,,
09/18/2004,5930.25,,4904,,-256,,
09/19/2004,5929.95,,4641,,-263,,
09/20/2004,5929.70,,4443,,-198,,
09/21/2004,5929.47,,4260,,-183,,
09/22/2004,5929.29,,4118,,-142,,
09/23/2004,5929.13,,3992,,-126,,
09/24/2004,5928.99,,3882,,-110,,
09/25/2004,5928.87,,3788,,-94,,
09/26/2004,5928.78,,3717,,-71,,
09/27/2004,5928.69,,3647,,-70,,
09/28/2004,5928.61,,3585,,-62,,
09/29/2004,5928.54,,3530,,-55,,
09/30/2004,5928.55,,3538,,8,,
10/01/2004,5928.50,,3499,,-39,,
10/02/2004,5928.46,,3468,,-31,,
10/03/2004,5928.42,,3437,,-31,,
10/04/2004,5928.38,,3406,,-31,,
10/05/2004,5928.35,,3383,,-23,,
10/06/2004,5928.32,,3359,,-24,,
10/07/2004,5928.29,,3336,,-23,,
10/08/2004,5928.25,,3305,,-31,,
10/09/2004,5928.22,,3282,,-23,,
10/10/2004,5928.19,,3258,,-23,,
10/11/2004,5928.16,,3235,,-24,,
10/12/2004,5928.14,,3220,,-15,,
10/13/2004,5928.13,,3212,,-8,,
10/14/2004,5928.11,,3197,,-15,,
10/15/2004,5928.09,,3181,,-16,,
10/16/2004,5928.07,,3166,,-15,,
10/17/2004,5928.22,,3282,,116,,
10/18/2004,5928.21,,3274,,-8,,
10/19/2004,5928.36,,3390,,116,,
10/20/2004,5928.41,,3429,,39,,
10/21/2004,5928.38,,3406,,-23,,
10/22/2004,5928.35,,3383,,-23,,
10/23/2004,5928.34,,3375,,-8,,
10/24/2004,5928.33,,3367,,-8,,
10/25/2004,5928.30,,3344,,-23,,
10/26/2004,5928.39,,3414,,70,,
10/27/2004,5928.36,,3390,,-24,,
10/28/2004,5928.34,,3375,,-15,,
10/29/2004,5928.31,,3352,,-23,,
10/30/2004,5928.30,,3344,,-8,,
10/31/2004,5928.27,,3321,,-23,,
11/01/2004,5928.26,,3313,,-8,,
11/02/2004,5928.24,,3297,,-16,,
11/03/2004,5928.27,,3321,,24,,
11/04/2004,5928.25,,3305,,-16,,
11/05/2004,--,,--,,--,,
11/06/2004,--,,--,,--,,
11/07/2004,--,,--,,--,,
11/08/2004,5928.22,,3282,,--,,
11/09/2004,5928.21,,3274,,-8,,
11/10/2004,5928.23,,3290,,16,,
11/11/2004,5928.24,,3297,,7,,
11/12/2004,5928.23,,3290,,-7,,
11/13/2004,5928.23,,3290,,0,,
11/14/2004,5928.22,,3282,,-8,,
11/15/2004,5928.21,,3274,,-8,,
11/16/2004,5928.21,,3274,,0,,
11/17/2004,5928.20,,3266,,-8,,
11/18/2004,5928.20,,3266,,0,,
11/19/2004,5928.19,,3258,,-7,,
11/20/2004,5928.17,,3243,,-16,,
11/21/2004,5928.16,,3235,,-8,,
11/22/2004,5928.14,,3220,,-15,,
11/23/2004,5928.14,,3220,,0,,
11/24/2004,5928.13,,3212,,-8,,
11/25/2004,5928.14,,3220,,8,,
11/26/2004,5928.16,,3235,,15,,
11/27/2004,5928.24,,3297,,62,,
11/28/2004,5928.23,,3290,,-7,,
11/29/2004,5928.21,,3274,,-16,,
11/30/2004,5928.20,,3266,,-8,,
12/01/2004,5928.19,,3258,,-7,,
12/02/2004,5928.17,,3243,,-16,,
12/03/2004,5928.16,,3235,,-8,,
