Date,RESELE , ,,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,INFLOW , ,,
 ,FEET, ,AF, ,AF, ,CFS, ,CFS, ,
03/26/2004,586.00,,23135,,126,,4596,,4661,,
03/27/2004,586.00,,23135,,0,,4747,,4748,,
03/28/2004,585.12,,22582,,-553,,4493,,4216,,
03/29/2004,585.89,,23066,,484,,4432,,4679,,
03/30/2004,583.82,,21781,,-1285,,4346,,3701,,
03/31/2004,582.32,,20877,,-904,,4499,,4044,,
04/01/2004,582.00,,20686,,-191,,4540,,4448,,
04/02/2004,582.71,,21110,,--,,6032,,6251,,
04/03/2004,583.40,,21526,,416,,5965,,6177,,
04/04/2004,583.87,,21811,,285,,6021,,6167,,
04/05/2004,583.14,,21368,,-443,,6052,,5833,,
04/06/2004,582.95,,21253,,-115,,6137,,6082,,
04/07/2004,581.61,,20457,,-796,,12516,,12118,,
04/08/2004,579.97,,19507,,-950,,13341,,12865,,
04/09/2004,580.68,,19916,,409,,13915,,14125,,
04/10/2004,582.43,,20943,,1027,,13817,,14340,,
04/11/2004,582.16,,20782,,-161,,13813,,13735,,
04/12/2004,583.29,,21459,,677,,12010,,12355,,
04/13/2004,584.06,,21927,,468,,10319,,10560,,
04/14/2004,583.70,,21708,,-219,,10277,,10170,,
04/15/2004,584.02,,21902,,194,,10207,,10306,,
04/16/2004,584.35,,22106,,204,,8697,,8802,,
04/17/2004,584.60,,22260,,154,,7578,,7659,,
04/18/2004,585.78,,22997,,737,,6479,,6852,,
04/19/2004,586.37,,23371,,374,,6041,,6234,,
04/20/2004,585.48,,22808,,-563,,6033,,5749,,
04/21/2004,584.33,,22094,,--,,6039,,5681,,
04/22/2004,584.83,,22402,,308,,6047,,6204,,
04/23/2004,583.88,,21817,,-585,,6110,,5820,,
04/24/2004,584.47,,22180,,363,,6649,,6837,,
04/25/2004,583.89,,21823,,-357,,7088,,6913,,
04/26/2004,583.55,,21617,,-206,,7513,,7414,,
04/27/2004,583.74,,21732,,115,,7799,,7864,,
04/28/2004,585.69,,22940,,1208,,8055,,8669,,
04/29/2004,584.51,,22205,,-735,,8483,,8115,,
04/30/2004,583.05,,21313,,-892,,8478,,8033,,
05/01/2004,585.16,,22607,,1294,,8951,,9611,,
05/02/2004,584.55,,22229,,-378,,8970,,8782,,
05/03/2004,584.00,,21890,,-339,,9164,,8998,,
05/04/2004,584.52,,22211,,321,,9590,,9757,,
05/05/2004,583.13,,21362,,-849,,10018,,9595,,
05/06/2004,581.06,,20135,,-1227,,11186,,10573,,
05/07/2004,--,,--,,--,,--,,--,,
05/08/2004,--,,--,,--,,--,,--,,
05/09/2004,582.92,,21235,,--,,10430,,10084,,
05/10/2004,582.31,,20871,,-364,,10363,,10183,,
05/11/2004,583.61,,21653,,782,,9469,,9865,,
05/12/2004,584.81,,22390,,737,,9001,,9378,,
05/13/2004,584.64,,22285,,-105,,9016,,8968,,
05/14/2004,584.02,,21902,,--,,9026,,8837,,
05/15/2004,584.43,,22155,,253,,9019,,9151,,
